Name,Latitude,Longitude,Classification,Cluster label
Ig International Management Limited,53.33209889999999,-6.2304951,Company,4
Belfius Ireland,53.349242200000006,-6.2462857000000005,Company,3
Northern Trust Management Services (Ireland) Limited,53.3458585,-6.2507611,Company,3
Gam Fund Management Limited,53.3458585,-6.2507611,Company,3
Airbus Financial Services,53.3496284,-6.246303299999999,Company,3
Accenture Global Solutions Limited,53.3441421,-6.2387628,Company,1
Aon Insurance Managers (Dublin) Limited,53.352392200000004,-6.2542065000000004,Company,3
Anp International Finance Limited,53.351357400000005,-6.2482047,Company,3
Ulster Bank Corporate Banking & Financial Markets,53.34744310000001,-6.2539365999999985,Company,3
Sogeti Ireland,53.352392200000004,-6.2542065000000004,Company,3
JP Morgan Bank (Ireland) PLC,53.344805799999996,-6.2315043,Company,1
HSBC Securities Services (Ireland) Limited,53.343657799999995,-6.239462899999999,Company,1
RBC Investor and Treasury Services Limited (Ireland),53.346815600000006,-6.253539599999999,Company,3
BNP Paribas CIB (Ireland),53.34961819999999,-6.2466773999999985,Company,3
Intesa Sanpaolo Bank Ireland,53.34994829999999,-6.2473557999999985,Company,3
Investec Ireland Limited,53.332904500000005,-6.262198600000001,Company,2
Pfizer Dublin Treasury Centre,53.3413042,-6.230584899999998,Company,1
Citi (Ireland HQ),53.34802579999999,-6.2453677,Company,3
Aig Asset Management (Ireland) Limited,53.3478321,-6.241581800000001,Company,1
Mitsubishi Ufj Lease & Finance (Ireland) Limited,53.33781099999999,-6.2465532999999995,Company,2
Intl Investment & Underwriting Limited,53.34132469999999,-6.238931699999998,Company,1
Willis Management (Dublin) Limited,53.340074800000004,-6.2367637999999985,Company,1
Mediolanum International Funds Limited,53.33207849999999,-6.231314999999999,Company,4
Verizon Business,53.3441209,-6.2442125,Company,1
Brown Brothers Harriman Fund Admin Services (Ireland) Limited,53.3365234,-6.244983299999999,Company,1
Marsh Management Services (Dublin) Limited,53.33193829999999,-6.2560367,Company,2
Bny Mellon Asset Services (Ireland) Limited,53.34862929999999,-6.2415452999999985,Company,1
International Fund Services (Ireland) Limited,53.345091000000004,-6.2328532,Company,1
FFH Management Services Limited,53.33193829999999,-6.2560367,Company,2
Jazz Pharmaceuticals PLC.,53.3330123,-6.2472436999999985,Company,2
Webzen Inc,53.3464953,-6.278598400000001,Company,0
Transaction Network Services (Tns) Limited,53.33241829999999,-6.2318799999999985,Company,4
Agfa Limited,53.3410895,-6.256952500000001,Company,2
Electrolux Group Ireland Limited,53.333574899999995,-6.2519953,Company,2
Allergan Services International Limited,53.3350076,-6.2562639,Company,2
IBM Intl Treasury Services Company,53.332832999999994,-6.2408842999999985,Company,4
Sgam ( Ireland) Limited,53.3483397,-6.2505321999999985,Company,3
Milliman,53.338733999999995,-6.2400400000000005,Company,1
American College Dublin Limited,53.3381471,-6.248180899999999,Company,2
Liberty Special Markets (Ireland),53.33027779999999,-6.2336111,Company,4
Allied Risk Management Limited,53.3483908,-6.2504650999999996,Company,3
Seb Life International Limited,53.34551999999999,-6.235659,Company,1
Aig Europe Limited,53.3478321,-6.241581800000001,Company,1
Link IFS Limited,53.34390459999999,-6.2405643,Company,1
Metzler Ireland Limited,53.3490816,-6.24094,Company,1
Amundi Asset Management (Ireland),53.346815600000006,-6.253539599999999,Company,3
Susquehanna Ireland Limited,53.349712,-6.247880899999998,Company,3
Critical Path,53.3379517,-6.2421517,Company,1
Bank Of Montreal Ireland PLC,53.350236800000005,-6.2497903,Company,3
SMBC Aviation Capital,53.3483908,-6.2504650999999996,Company,3
AXA XL,53.3398762,-6.2596886,Company,2
TD Securities (Ireland),53.3409208,-6.257272,Company,2
Canada Life Assurance Europe Limited,53.3493471,-6.2569656999999985,Company,3
Euroben Life & Pension Limited,53.33283910000001,-6.2638815,Company,2
Belfius Bank SA/NV,53.349242200000006,-6.2462857000000005,Company,3
Amb Capital (Ireland) Limited,53.33259939999999,-6.2527665,Company,2
Porsche International Financing Dac,53.349341700000004,-6.247228199999999,Company,3
Chubb Insurance Company Of Europe S.a.,53.34961819999999,-6.2466773999999985,Company,3
Jmh Finance Corporation,53.3489564,-6.247024300000001,Company,3
Investment Technology Group Limited,53.34952430000001,-6.2436919,Company,3
Ing European Financial Services PLC,53.337518599999996,-6.255827200000001,Company,2
Icbc Financial Leasing Co. Limited (Dublin),53.33873579999999,-6.238596599999999,Company,1
Sei Global Fund Services Limited,53.3344321,-6.2621242,Company,2
Smt Fund Services (Ireland) Limited,53.33276899999999,-6.264202999999998,Company,2
National Westminster Reinsurance Limited,53.3483908,-6.2504650999999996,Company,3
W&W Advisory Dublin Limited,53.335876299999995,-6.2572239000000005,Company,2
Kdb Ireland Limited,53.3366524,-6.2615393,Company,2
Fiba Ifsc,53.34557179999999,-6.2332982,Company,1
Webroot International Limited,53.3471706,-6.252800700000001,Company,3
Bbva Ireland PLC,53.35020649999999,-6.246353599999999,Company,3
Credit Suisse International,53.348416500000006,-6.238060399999998,Company,1
Murex Advanced Technologies,53.333172399999995,-6.2316482,Company,4
Macquarie Aviation Capital Finance Limited,53.3321458,-6.246678299999999,Company,2
HSBC Bank PLC (Ireland),53.343657799999995,-6.239462899999999,Company,1
Epsilon Ireland,53.3364524,-6.2520545,Company,2
Zurich Insurance PLC,53.34957619999999,-6.250260400000001,Company,3
Invesco Global Asset Management DAC,53.34498000000001,-6.234991099999999,Company,1
Intrepid Aviation,53.337501100000004,-6.255251400000001,Company,2
China Construction Bank International Leasing,53.33705260000001,-6.261068099999999,Company,2
Wells Fargo Bank International,53.350236800000005,-6.2497903,Company,3
Guggenheim Partners Europe Limited,53.3439743,-6.2346829,Company,1
Lantern Structured Asset Management,53.34256260000001,-6.256766700000001,Company,2
Landesk,53.333683400000005,-6.2631431,Company,2
Chc Leasing (Ireland) Limited,53.3385385,-6.2687070999999985,Company,0
Analytic Partners,53.3415196,-6.269255999999999,Company,0
Aris Global Software Pvt Limited,53.3282145,-6.2317708,Company,4
Spencer Stuart International Ireland,53.3455701,-6.242335799999998,Company,1
Telefonica Europe People Services Limited,53.34479739999999,-6.243957599999999,Company,1
Amazon Data Services Ireland Limited,53.3323927,-6.2459666,Company,2
Level 3 Communications,53.340780099999996,-6.2644791999999985,Company,0
Cuna Mutual Group Services (Ireland) Limited,53.344267200000004,-6.2673961999999985,Company,0
Infineon Technologies Ireland Limited,53.33721260000001,-6.2740233,Company,0
Ge Financial Markets,53.34135389999999,-6.267764700000001,Company,0
State Street International (Ireland) Limited,53.345091000000004,-6.2328532,Company,1
Merian,53.33293370000001,-6.2636666,Company,2
National Bank Of Canada,53.3282145,-6.2317708,Company,4
Udemy Ireland Limited,53.34557179999999,-6.2332982,Company,1
Wilmington Trust Sp Services (Dublin) Limited,53.34974829999999,-6.247299099999998,Company,3
Fideuram Asset Management,53.3458586,-6.2507611,Company,3
DLL Ireland Company,53.346815600000006,-6.253539599999999,Company,3
Arch Reinsurance Europe,53.331414,-6.2316502,Company,4
Airbus Helicopters International Services Limited,53.349242200000006,-6.2462857000000005,Company,3
AXA Life Europe dac,53.3482826,-6.267524499999999,Company,0
Zendesk,53.330454700000004,-6.2589079000000005,Company,2
Powerhealth Solutions,53.3412172,-6.2841209000000005,Company,0
Nitro Pdf,53.3321792,-6.2457595999999995,Company,2
GTLK Europe,53.337501100000004,-6.255251400000001,Company,2
Mindtree Limited,53.348416500000006,-6.238060399999998,Company,1
Nightowl Discovery,53.33283910000001,-6.2638815,Company,2
MUFG Alternative Fund Services (Ireland) Ltd,53.346815600000006,-6.253539599999999,Company,3
Informatica Ireland Limited,53.345698899999995,-6.2462684999999984,Company,3
Bentley Systems International Limited,53.3336252,-6.261345400000001,Company,2
Amedeo UK,53.331491899999996,-6.231049700000001,Company,4
