Company,Phone,Fax,Web,Sector(s),Product,Nationality,Address,Additional1,Additional2
Liebherr Container Cranes Limited,+353 646670200,+353 646634041,www.liebherr.com,Engineering,Container Cranes,Switzerland,Fossa   Killarney Kerry Ireland,,
Electronic Concepts (Europe) Limited,+353 91 552432,+353 91 552387,www.electronicconcepts.ie,ICT- ICT - Hardware,Film Capacitors,United States of America,IDA Estate   Oughterard Galway Ireland,,
Tillotson Limited,+353 66 7121911,+353 66 7124503,www.tillotson.ie,Engineering,Carburettors for garden equipment, karting & other speciality markets,United States of America,Clash Industrial Estate   Tralee Kerry Ireland,
Logitech Ireland Services Limited,+353 214620800,,www.logitech.com,ICT- ICT - Software,Shared Services and R&D,Switzerland,Building 3400 Cork Airport Business Park  Cork Cork Ireland,,
Symantec Limited,+353 1 8035400,,www.symantec.com,ICT- ICT - Software,Package Software for PC and Mac and technical support,United States of America,Ballycoolin Industrial Park Blanchardstown  Dublin Dublin Ireland,,
Ig International Management Limited,+353 1 4494000,+353 1 4494090,www.investorsgroup.com,Financial Services,Asset Management - owned by Power Financial Group  in Canada,Canada,Brooklawn House Shelbourne Road Ballsbridge Dublin Dublin Ireland,,
Rettig Ireland Limited,+353 69 62277,+353 69 62448,www.rettigicc.com,Engineering,Radiator Valves,Finland,   Newcastlewest Limerick Ireland,,
Jacobs Engineering Limited (Cork),+353 214515777,+353 214358977,www.cork.jacobs.com,Business Services,Consulting Engineers,United States of America,Mahon Industrial Estate Blackrock  Cork Cork Ireland,,
Leo Pharma Dublin,+353 1 4908924,+353 1 4905066,www.leo.ie,Bio Pharmaceuticals,Finished Pharmaceuticals,Denmark,P.O.Box 81285 Cashel Road    Dublin Ireland,,
Saint Gobain Performance Plastics Ireland,+353 659051421,+353 659051423,www.plastics.saint-gobain.com,,Teflon Coated Fabrics,France,Kilrush Industrial Estate   Kilrush Clare Ireland,,
