Name,Latitude,Longitude,Classification,Line
Fatima Luas stop,53.3384844,-6.2925667,Luas stop,Red
James's Luas stop,53.341938,-6.2934283,Luas stop,Red
Heuston Luas stop,53.3463288,-6.2941303,Luas stop,Red
Museum Luas stop,53.3478272,-6.2867342,Luas stop,Red
Smithfield Luas stop,53.34715,-6.278,Luas stop,Red
Four Courts Luas stop,53.3467994,-6.2734698,Luas stop,Red
Jervis Luas stop,53.3476956,-6.2656661,Luas stop,Red
Abbey Street Luas stop,53.3486455,-6.2581849,Luas stop,Red
Busáras Luas stop,53.3500855,-6.2514507,Luas stop,Red
Busáras Luas stop,53.349921,-6.2520334,Luas stop,Red
George's Dock Luas stop,53.3494735,-6.247568,Luas stop,Red
Mayor Square - NCI Luas stop,53.3491937,-6.2433792,Luas stop,Red
Spencer Dock Luas stop,53.3487745,-6.2370702,Luas stop,Red
