Name,Ranking,Reviews,Rating,Price,Cuisines,Address,Latitude,Longitude,Phone,Link
Tang Cafe,1,502,5.0,Cheap,"['Cafe', 'European', 'Healthy']","23c Dawson Street, Dublin D02 PW18 Ireland",53.3487197,-6.2583985,+353 86 391 5401,/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html
Glovers Alley,3,193,5.0,Expensive,"['Irish', 'European', 'Vegetarian Friendly']","128 Stephen’s Green Fitzwilliam Hotel, Dublin 2 Ireland",53.3396444,-6.263466,+353 1 244 0733,/Restaurant_Review-g186605-d13477650-Reviews-Glovers_Alley-Dublin_County_Dublin.html
Darkey Kelly's Bar & Restaurant,4,1645,4.5,Average,"['Irish', 'Bar', 'European']","Fishamble Street ChristChruch, Dublin Ireland",53.343513,-6.27106,+353 83 346 4682,/Restaurant_Review-g186605-d6403998-Reviews-Darkey_Kelly_s_Bar_Restaurant-Dublin_County_Dublin.html
Mulberry Garden,5,909,4.5,Expensive,"['Irish', 'European', 'Contemporary']","Mulberry Lane Donnybrook, Dublin 04 Ireland",53.32265875223265,-6.2368013751977935,+353 1 269 3300,/Restaurant_Review-g186605-d2239110-Reviews-Mulberry_Garden-Dublin_County_Dublin.html
The Landmark,6,468,4.5,Average,"['Irish', 'Bar', 'European']","The Landmark 40 Wexford Street, Dublin D02 CH68 Ireland",53.3374409,-6.2659032,+353 1 537 9951,/Restaurant_Review-g186605-d15590976-Reviews-The_Landmark-Dublin_County_Dublin.html
1900 Restaurant,7,354,4.5,Average,"['French', 'Irish', 'European']","59 Harcourt Street, Dublin dublin 2 Ireland",53.334348000000006,-6.2628519436001575,+353 1 476 4667,/Restaurant_Review-g186605-d5504360-Reviews-1900_Restaurant-Dublin_County_Dublin.html
Chapter One,8,2386,4.5,Expensive,"['Irish', 'European', 'Contemporary']","18-19 Parnell Sq., Dublin D01 T3V8 Ireland",53.354248597767295,-6.263890167284722,+353 1 873 2266,/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html
Bloom Brasserie,9,1873,4.5,Average,"['Irish', 'European', 'Wine Bar']","11 Baggot Street Upper Dublin 4, Dublin D04 HN92 Ireland",53.33374357549518,-6.244836410330085,+353 1 668 7170,/Restaurant_Review-g186605-d1587791-Reviews-Bloom_Brasserie-Dublin_County_Dublin.html
Lemon and Duke Bar,10,992,4.5,Average,"['Irish', 'Bar', 'European']","Duke House 2 Duke Lane Upper Corner of Lemon Street and Duke Lane, Dublin D02 YK71 Ireland",53.34135269999999,-6.2593086,+353 1 679 6260,/Restaurant_Review-g186605-d11727304-Reviews-Lemon_and_Duke_Bar-Dublin_County_Dublin.html
Gerry's Coffee Shop,11,343,4.5,Cheap,"['Irish', 'Cafe', 'European']","6 Montague Street, Dublin D02 XE65 Ireland",53.3366158712513,-6.264398533952559,+353 1 478 3524,/Restaurant_Review-g186605-d5821541-Reviews-Gerry_s_Coffee_Shop-Dublin_County_Dublin.html
Dax Restaurant,12,985,4.5,Expensive,"['French', 'European', 'Contemporary']","23 Pembroke Street Upper Dublin 2, Dublin 2 Ireland",53.33475878087824,-6.254391740424127,+353 1 676 1494,/Restaurant_Review-g186605-d1146791-Reviews-Dax_Restaurant-Dublin_County_Dublin.html
The Little Pig Speakeasy,14,169,4.5,Average,"['Italian', 'European', 'Vegetarian Friendly']","6 Glendenning Lane, Wicklow St, Dublin D02 NP97 Ireland",53.3428388,-6.260205699999999,+353 1 565 4398,/Restaurant_Review-g186605-d12930262-Reviews-The_Little_Pig_Speakeasy-Dublin_County_Dublin.html
Keshk Cafe,15,688,4.5,Average,"['Mediterranean', 'Middle Eastern', 'Egyptian']","71 Mespil Road, Dublin Ireland",53.3336877,-6.2458595,+353 1 667 3002,/Restaurant_Review-g186605-d2480052-Reviews-Keshk_Cafe-Dublin_County_Dublin.html
Lavanda Restaurant,16,179,4.5,Average,"['International', 'Mediterranean', 'European']","31 North Brunswick Street Stoneybatter, Dublin D7 Ireland",53.3506538,-6.279746,+353 1 671 9420,/Restaurant_Review-g186605-d10769716-Reviews-Lavanda_Restaurant-Dublin_County_Dublin.html
JP Mooneys,17,277,4.5,Average,"['Irish', 'Bar', 'Pub']","2 Nassau Street, Dublin Ireland",53.342118,-6.254771,+353 1 551 3725,/Restaurant_Review-g186605-d16827337-Reviews-JP_Mooneys-Dublin_County_Dublin.html
Crow Street Restaurant,19,281,4.5,Average,"['Irish', 'International', 'European']","1 Crow Street Temple Bar, Dublin D02 WD54 Ireland",53.3442295,-6.2638642,+353 1 441 1588,/Restaurant_Review-g186605-d15038602-Reviews-Crow_Street_Restaurant-Dublin_County_Dublin.html
SOUP DRAGON,20,234,4.5,Cheap,"['Cafe', 'International', 'European']","168 Capel Street Dublin 1, Dublin D01 X4E6 Ireland",53.3462713,-6.268193109484197,+353 1 872 3277,/Restaurant_Review-g186605-d1923786-Reviews-SOUP_DRAGON-Dublin_County_Dublin.html
Urbanity,21,503,4.5,Average,"['Irish', 'European', 'Healthy']","11 Coke Lane Smithfield, Dublin 7 The Glasshouse, Dublin D07 WNP2 Ireland",53.3468366,-6.2790392,+353 1 874 7288,/Restaurant_Review-g186605-d9976712-Reviews-Urbanity-Dublin_County_Dublin.html
Boco Bar + Oven,22,294,4.5,Average,"['Pizza', 'Pub', 'Gastropub']","57 Bolton Street, Dublin D01 CK40 Ireland",53.351353315108604,-6.269949207441719,+353 1 873 0128,/Restaurant_Review-g186605-d11915576-Reviews-Boco_Bar_Oven-Dublin_County_Dublin.html
PHX Bistro,23,928,4.5,Average,"['Irish', 'European', 'Vegetarian Friendly']","12 Ellis Quay Smithfield, Dublin D7 Ireland",53.34659185284414,-6.281091578043907,+353 1 611 1161,/Restaurant_Review-g186605-d3674448-Reviews-PHX_Bistro-Dublin_County_Dublin.html
Restaurant SIX,24,180,4.5,Average,"['Irish', 'European', 'Contemporary']","6 Cavendish Row, Upper O'Connell Street Upper O'Connell Street, Dublin D01 V3P6 Ireland",53.3529906,-6.2617293,+353 1 887 1366,/Restaurant_Review-g186605-d13414303-Reviews-Restaurant_SIX-Dublin_County_Dublin.html
Mr Fox Restaurant,25,444,4.5,Average,"['Irish', 'International', 'Central European']","38 Parnell Square West, Dublin Ireland",53.35297315,-6.265081789368626,+353 1 874 7778,/Restaurant_Review-g186605-d11804698-Reviews-Mr_Fox_Restaurant-Dublin_County_Dublin.html
The Vintage Kitchen,26,2041,4.5,Average,"['Irish', 'European', 'Vegetarian Friendly']","No 7 Poolbeg Street, Dublin Ireland",53.346902,-6.255632,+353 1 679 8705,/Restaurant_Review-g186605-d3873866-Reviews-The_Vintage_Kitchen-Dublin_County_Dublin.html
Lovinspoon,27,376,4.5,Cheap,"['Irish', 'Cafe', 'European']","13 North Fredrick Street, Dublin Ireland",53.3556416,-6.2645931,+353 86 360 5653,/Restaurant_Review-g186605-d3337240-Reviews-Lovinspoon-Dublin_County_Dublin.html
F.X. Buckley Steakhouse Temple Bar,29,3175,4.5,Average,"['Steakhouse', 'Irish', 'European']","2 Crow Street Temple Bar, Dublin D02 N228 Ireland",53.3445818,-6.2638842,+353 1 671 1248,/Restaurant_Review-g186605-d804494-Reviews-F_X_Buckley_Steakhouse_Temple_Bar-Dublin_County_Dublin.html
Etto,30,522,4.5,Average,"['Irish', 'European', 'Vegetarian Friendly']","18 Merrion Row, Dublin Ireland",53.338266350160225,-6.253948036936138,+353 1 678 8872,/Restaurant_Review-g186605-d5322567-Reviews-Etto-Dublin_County_Dublin.html
The Blind Pig Speakeasy,31,1000,4.5,Average,"['Italian', 'European', 'Vegetarian Friendly']","18 Suffolk Street, Dublin D02 NP97 Ireland",53.3433212,-6.259870599999999,+353 1 565 4700,/Restaurant_Review-g186605-d6849117-Reviews-The_Blind_Pig_Speakeasy-Dublin_County_Dublin.html
Beanhive,33,1250,4.5,Cheap,"['Quick Bites', 'Irish', 'Cafe']","26 Dawson Street, Dublin D02 FY28 Ireland",53.3398286,-6.258868531446453,+353 1 677 4685,/Restaurant_Review-g186605-d6522141-Reviews-Beanhive-Dublin_County_Dublin.html
One Society,34,85,5.0,Average,"['Italian', 'Irish', 'Pizza']","1 Lower Gardiner Steet Mountjoy, Dublin Ireland",53.354040000000005,-6.2565665,+353 1 537 5261,/Restaurant_Review-g186605-d15360635-Reviews-One_Society-Dublin_County_Dublin.html
SOLE Seafood and Grill,35,698,4.5,Expensive,"['Irish', 'Seafood', 'European']","18-19 South William Street, Dublin DUBLIN 2 Ireland",53.342078,-6.2625910000000005,+353 1 544 2300,/Restaurant_Review-g186605-d13536271-Reviews-SOLE_Seafood_and_Grill-Dublin_County_Dublin.html
Pearl Brasserie,36,1108,4.5,Expensive,"['French', 'Irish', 'European']","20 Merrion Street Upper, Dublin D02 XH98 Ireland",53.338317039067405,-6.253397316992627,+353 1 661 3572,/Restaurant_Review-g186605-d786211-Reviews-Pearl_Brasserie-Dublin_County_Dublin.html
Eatokyo Asian Street Food,37,68,5.0,Average,"['Japanese', 'Sushi', 'Vegetarian Friendly']","Talbot Street Number 4, Dublin D01 X8F8 Ireland",53.3503766,-6.2574863,+353 1 878 2612,/Restaurant_Review-g186605-d15319186-Reviews-Eatokyo_Asian_Street_Food-Dublin_County_Dublin.html
Queen of Tarts,38,124,4.5,Average,"['Cafe', 'European', 'Vegetarian Friendly']","4 Cork Hill Dame Street, Dublin Ireland",53.34425548923581,-6.268803518465996,+353 1 670 7499,/Restaurant_Review-g186605-d14775134-Reviews-Queen_of_Tarts-Dublin_County_Dublin.html
Red Torch Ginger,40,1622,4.5,Average,"['Asian', 'Thai', 'Contemporary']","14/15 Saint Andrew Street, Dublin 2 Ireland",53.34345203852581,-6.261806343431996,+353 1 677 3363,/Restaurant_Review-g186605-d799247-Reviews-Red_Torch_Ginger-Dublin_County_Dublin.html
Mister S,43,81,5.0,Average,"['Irish', 'European', 'Grill']","32 Camden Street Lower, Dublin D02P029 Ireland",53.3346049,-6.2652736,+353 1 683 5555,/Restaurant_Review-g186605-d19043000-Reviews-Mister_S-Dublin_County_Dublin.html
Restaurant Patrick Guilbaud,44,1306,4.5,Expensive,"['French', 'European', 'Vegetarian Friendly']","The Merrion Hotel 21 Merrion Street Upper, Dublin D2 Ireland",53.33840046941511,-6.252855856060933,+353 1 676 4192,/Restaurant_Review-g186605-d693140-Reviews-Restaurant_Patrick_Guilbaud-Dublin_County_Dublin.html
Forest Avenue,46,416,4.5,Expensive,"['Irish', 'European', 'Vegetarian Friendly']","8 Sussex Terrace, Dublin Ireland",53.3315524981272,-6.2514284585910245,+353 1 667 8337,/Restaurant_Review-g186605-d5292797-Reviews-Forest_Avenue-Dublin_County_Dublin.html
The Sussex,48,764,4.5,Average,"['Steakhouse', 'Irish', 'European']","9 Sussex Terrace, Upper Leeson St., Dublin Ireland",53.33133191458508,-6.251560762172171,+353 1 538 8100,/Restaurant_Review-g186605-d1943932-Reviews-The_Sussex-Dublin_County_Dublin.html
Pickle,49,717,4.5,Average,"['Indian', 'Asian', 'Vegetarian Friendly']","43 Camden Street, Dublin Ireland",53.333964970781935,-6.2651288667132485,+353 1 555 7755,/Restaurant_Review-g186605-d10004867-Reviews-Pickle-Dublin_County_Dublin.html
TGI Fridays,50,1041,4.0,Average,"['American', 'Bar', 'Central American']","19/20 Fleet Street, Dublin Dublin 2 Ireland",53.33989006785325,-6.26127096823372,+353 1 672 8975,/Restaurant_Review-g186605-d3832757-Reviews-TGI_Fridays-Dublin_County_Dublin.html
The Little Kitchen,51,498,4.5,Average,"['Irish', 'European', 'Vegetarian Friendly']","129 Upper Leeson Street, Dublin D4 Ireland",53.3305896915001,-6.251368295011614,+353 6697844,/Restaurant_Review-g186605-d8457840-Reviews-The_Little_Kitchen-Dublin_County_Dublin.html
Las Tapas de Lola,52,1216,4.5,Average,"['Mediterranean', 'European', 'Spanish']","12 Wexford Street, Dublin Ireland",53.33691999999999,-6.26549,+353 1 424 4100,/Restaurant_Review-g186605-d4234586-Reviews-Las_Tapas_de_Lola-Dublin_County_Dublin.html
Damascus Gate,53,730,4.5,Average,"['Lebanese', 'Mediterranean', 'Middle Eastern']","10 Upper Camden Street Dublin 2, Dublin DUBLIN 2 Ireland",53.33290744900845,-6.264928502105469,+353 1 475 2000,/Restaurant_Review-g186605-d3814223-Reviews-Damascus_Gate-Dublin_County_Dublin.html
The Bakehouse,54,866,4.5,Average,"['Irish', 'Cafe', 'European']","6 Bachelors Walk, Dublin Ireland",53.332721556627284,-6.264798167249384,+353 1 873 4279,/Restaurant_Review-g186605-d2201173-Reviews-The_Bakehouse-Dublin_County_Dublin.html
I Monelli,56,590,4.5,Average,"['Italian', 'Mediterranean', 'European']","1-2 Portobello Road, Dublin D08 E0C0 Ireland",53.32988733435199,-6.268703500017617,+353 1 454 6057,/Restaurant_Review-g186605-d6542415-Reviews-I_Monelli-Dublin_County_Dublin.html
Wuff,57,641,4.5,Average,"['Irish', 'Cafe', 'International']","23 Benburb Street Smithfield, Dublin Ireland",53.34740406145657,-6.282413341418848,+353 1 633 7959,/Restaurant_Review-g186605-d3387184-Reviews-Wuff-Dublin_County_Dublin.html
Green Nineteen,58,718,4.5,Average,"['Irish', 'Bar', 'Cafe']","19 Camden Street Lower, Dublin 2 Ireland",53.3352526,-6.2649966,+353 1 478 9626,/Restaurant_Review-g186605-d1604392-Reviews-Green_Nineteen-Dublin_County_Dublin.html
Darwins Restaurant,60,1126,4.5,Average,"['Steakhouse', 'Irish', 'International']","80 Aungier Street Dublin 2, Dublin Ireland",53.34128055,-6.265708740795986,+353 1 475 7511,/Restaurant_Review-g186605-d2296705-Reviews-Darwins_Restaurant-Dublin_County_Dublin.html
Brannigan's,61,290,4.5,Average,"['Irish', 'Bar', 'European']","9 Cathedral Street, Dublin Ireland",53.35038505,-6.259788012396787,,/Restaurant_Review-g186605-d4831269-Reviews-Brannigan_s-Dublin_County_Dublin.html
Sheehan's,62,818,4.5,Average,"['Irish', 'Bar', 'Pub']","17 Chatham Street, Dublin Ireland",53.3409479,-6.261812330731223,+353 1 677 1914,/Restaurant_Review-g186605-d715997-Reviews-Sheehan_s-Dublin_County_Dublin.html
Ginger Man,63,780,4.5,Average,"['Irish', 'Bar', 'Pub']","40 Fenian Street, Dublin Ireland",53.3418488,-6.2495572,+353 1 676 6388,/Restaurant_Review-g186605-d696230-Reviews-Ginger_Man-Dublin_County_Dublin.html
Amuse Restaurant,64,337,4.5,Expensive,"['European', 'Vegetarian Friendly', 'Gluten Free Options']","22 Dawson Street, Dublin 2 Ireland",53.3397209,-6.258549,+353 1 639 4889,/Restaurant_Review-g186605-d6845328-Reviews-Amuse_Restaurant-Dublin_County_Dublin.html
Bunsen,66,1245,4.5,Cheap,"['American', 'Fast food', 'Gluten Free Options']","36 Wexford street, Dublin Ireland",53.324019928414224,-6.251677172729035,+353 1 552 5408,/Restaurant_Review-g186605-d4310813-Reviews-Bunsen-Dublin_County_Dublin.html
Eatokyo Noodles and Sushi Bar,67,323,4.5,Average,"['Japanese', 'Sushi', 'Asian']","51 Wellington Quay Temple Bar, Dublin D02 Ireland",53.3460087,-6.262605,+353 1 534 8576,/Restaurant_Review-g186605-d10301565-Reviews-Eatokyo_Noodles_and_Sushi_Bar-Dublin_County_Dublin.html
The Old Storehouse Bar & Restaurant,68,4332,4.5,Average,"['Irish', 'Bar', 'European']","The Old Storehouse Bar & Restaurant 3 Crown Alley 3 Crown Alley Temple Bar, Dublin D02 CX67 Ireland",53.345176,-6.262646,+353 1 607 4003,/Restaurant_Review-g186605-d2338313-Reviews-The_Old_Storehouse_Bar_Restaurant-Dublin_County_Dublin.html
Platform 61,69,433,4.5,Average,"['Irish', 'European', 'Healthy']","27 South William Street Basement, Dublin D2 Ireland",53.3416209,-6.2632029,+353 1 558 3932,/Restaurant_Review-g186605-d8626951-Reviews-Platform_61-Dublin_County_Dublin.html
IL VICOLETTO,70,1744,4.5,Average,"['Italian', 'Steakhouse', 'Seafood']","Temple Bar 5 Crow Street Beside the Foggy Dew Pub Back Entrance, Dublin Dublin 2 Ireland",53.3446082,-6.2637108,+353 1 670 8633,/Restaurant_Review-g186605-d1485765-Reviews-IL_VICOLETTO-Dublin_County_Dublin.html
Devitt's Pub,71,385,4.5,Cheap,"['Irish', 'Bar', 'Pub']","78 Camden Street, Dublin D02 C642 Ireland",53.3355395,-6.2654505,+353 1 475 3414,/Restaurant_Review-g186605-d1596199-Reviews-Devitt_s_Pub-Dublin_County_Dublin.html
F.X. Buckley Steakhouse at The Bull & Castle,72,1916,4.5,Average,"['Steakhouse', 'Irish', 'Bar']","5-7 Lord Edward Street Christchurch, Dublin D2 Ireland",53.34344669999999,-6.2698331,+353 1 475 1122,/Restaurant_Review-g186605-d809965-Reviews-F_X_Buckley_Steakhouse_at_The_Bull_Castle-Dublin_County_Dublin.html
