Name,Reviews,Price,Cuisines,Link,Ranking,Rating,Hotel,Tourism,University,Cafe,Pub,Luas,Museum,Restaurant,Company,Company KNN,Liffey
Tang Cafe,502,Cheap,"['Cafe', 'European', 'Healthy']",/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html,1.0,5.0,3.5818708011790608,3.3453445440955503,1.9316906082326635,3.4264702261789064,2.6298080591398176,3.349915781780666,3.104752701422347,2.8108200151037352,3.188292508212743,4.227597551454314,3.0170747023749853
Glovers Alley,193,Expensive,"['Irish', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d13477650-Reviews-Glovers_Alley-Dublin_County_Dublin.html,0.3333333333333333,5.0,2.865496640943249,2.4901436831989434,2.9333079606496,3.513094473469946,2.639719396046124,2.0806930321619044,3.2873852132707198,3.00369533956671,2.970908928107329,3.7376370649439807,0.8030016329050627
Darkey Kelly's Bar & Restaurant,1645,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d6403998-Reviews-Darkey_Kelly_s_Bar_Restaurant-Dublin_County_Dublin.html,0.25,4.5,3.081390223480069,2.464990716701984,2.2178669946375025,3.0799732370147472,2.352290625763254,0.8395778901705929,3.506544227488768,2.4447254501994897,2.0723901303382832,3.7376370649439807,2.9074723730437078
Mulberry Garden,909,Expensive,"['Irish', 'European', 'Contemporary']",/Restaurant_Review-g186605-d2239110-Reviews-Mulberry_Garden-Dublin_County_Dublin.html,0.2,4.5,0.5691739903243439,0.2515296649695902,0.07154409660120976,0.5004956510148965,0.32707411790809293,0.24851007283239365,0.18263251184837334,0.3402959546257581,0.7463502916952558,3.3415086388875594,0.2285760678993653
The Landmark,468,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d15590976-Reviews-The_Landmark-Dublin_County_Dublin.html,0.16666666666666666,4.5,2.728109815692545,2.213461051732394,2.8617638640483904,2.906724742432668,2.3126452781380307,0.9331241731979572,2.7760141800952747,2.4828091129915424,2.7100486319808317,4.70809196841936,0.636474356926957
1900 Restaurant,354,Average,"['French', 'Irish', 'European']",/Restaurant_Review-g186605-d5504360-Reviews-1900_Restaurant-Dublin_County_Dublin.html,0.14285714285714285,4.5,2.296322650618905,1.8864724872719267,1.8601465116314537,2.781600829678944,1.8831540121981107,3.045377983436969,1.972431127962432,2.142513158365784,3.369445491633922,4.70809196841936,0.4529791357738893
Chapter One,2386,Expensive,"['Irish', 'European', 'Contemporary']",/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html,0.125,4.5,2.659416403067193,1.9116254537688857,1.2877937388217757,1.8961085240372038,1.5560798942900178,1.2984169696824288,2.2281166445501546,1.695337246872008,1.2970553612956388,2.1403419318582046,0.7252692778618606
Bloom Brasserie,1873,Average,"['Irish', 'European', 'Wine Bar']",/Restaurant_Review-g186605-d1587791-Reviews-Bloom_Brasserie-Dublin_County_Dublin.html,0.1111111111111111,4.5,1.9037888641883227,1.157036458860115,1.0016173524169367,1.8961085240372038,1.3215115875074461,0.34078492184950826,1.314954085308288,1.5000049119063201,3.5505984750551005,4.47928335330697,0.4055288411429048
Lemon and Duke Bar,992,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d11727304-Reviews-Lemon_and_Duke_Bar-Dublin_County_Dublin.html,0.1,4.5,2.924376708907836,3.169273778616837,3.4341166368580684,3.830716713537092,3.0295653143608203,2.838911679475141,3.506544227488768,3.227283295313598,3.4636450430129346,4.70809196841936,0.949978698471383
Gerry's Coffee Shop,343,Cheap,"['Irish', 'Cafe', 'European']",/Restaurant_Review-g186605-d5821541-Reviews-Gerry_s_Coffee_Shop-Dublin_County_Dublin.html,0.09090909090909091,4.5,2.6790430923887225,2.2386140182293532,2.8617638640483904,2.848975244238641,2.210228130106204,0.9709900816755554,2.5568551658772267,2.41646982941829,3.0940929568337303,4.70809196841936,0.5687868513479661
