Name,Commercial Type,Price,sq metres,Neighbourhood
"Cleary's Bar, Lounge & Adjacent Barbers Shop, Amiens Street, Dublin 1",Restaurant / Bar / Hotel For Sale,1500000,301,Dublin 1
"21 Ormond Quay Upper, Dublin 1",Restaurant / Bar / Hotel For Sale,2250000,570,Dublin 1
"308 The Capel Building, Mary Street, Dublin 1",Office For Sale,180000,38,Dublin 1
"Independent House, Talbot Street, Dublin 1",Investment Property For Sale,29000000,4173,Dublin 1
"Basement Car Spaces, Custom House Dock, IFSC, One North Wall Quay, North Wall, Dublin 1",Office For Sale,495000,,Dublin 1
"86 Parnell Street, Dublin 1",Development Land For Sale,,,Dublin 1
"3, 4 & 5 Dorset Street Lower, Dublin 1",Investment Property For Sale,2300000,1592,Dublin 1
"31 Liffey Street Upper, Dublin 1",Investment Property For Sale,1400000,4,Dublin 1
"34 Liffey Street Lower, Dublin 1",Retail Unit For Sale,850000,50,Dublin 1
"32 Liffey Street Lower, Dublin 1",Retail Unit For Sale,850000,55,Dublin 1
"23 Liffey Street Upper, Dublin 1",Retail Unit For Sale,1100000,161,Dublin 1
"77 Marlborough Street, Dublin 1",Office For Sale,,280,Dublin 1
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",Restaurant / Bar / Hotel For Sale,2750000,560,Dublin 1
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",Investment Property For Sale,2750000,560,Dublin 1
"37 North Lotts, off Bachelors walk, Dublin 1",Office For Sale,325000,55,Dublin 1
"4 North Earl Street, Dublin 1",Retail Unit For Sale,,488,Dublin 1
"625 North Circular Road, Dublin 1",Investment Property For Sale,1100000,211,Dublin 1
"Modern Office, Ormond Quay Lower, Dublin 1",Investment Property To Let or For Sale,1300000,465,Dublin 1
"11/11A Ormond Quay Lower, Dublin 1",Office To Let or For Sale,1300000,465,Dublin 1
"Unit 4 GPO Buildings, Henry Street, Dublin 1",Retail Unit For Sale,,152,Dublin 1
"67 Upper Dorset Street, Dublin 1",Investment Property For Sale,650000,246,Dublin 1
"Barry's Hotel, 1-2 Great Denmark Street, Dublin 1",Restaurant / Bar / Hotel For Sale,,2044,Dublin 1
"79/80 Talbot Street, Dublin 1",Restaurant / Bar / Hotel For Sale,,1858,Dublin 1
"79/80 Talbot Street, Dublin 1",Development Land For Sale,,,Dublin 1
"40 Lower O'Connell Street, Dublin 1",Investment Property For Sale,,5726,Dublin 1
"156, 157, 158 Capel Street, Dublin 1",Investment Property For Sale,,480,Dublin 1
"11 North King Street, Dublin 1",Investment Property For Sale,475000,93,Dublin 1
"The Chancery Inn 1 Inns Quay/37 Charles Street West, Smithfield, Dublin 1",Investment Property For Sale,1350000,405,Dublin 1
SOLD,Retail Unit To Let or For Sale,,787,SOLD
"14 Capel Street, Dublin 1",Investment Property For Sale,1300000,393,Dublin 1
"17 gardiner place, Dublin 1",Development Land For Sale,,,Dublin 1
"32 Lower Ormond Quay, Dublin 1, Dublin 1",Investment Property For Sale,700000,314,Dublin 1
"The Flowing Tide Pub, 9 Lower Abbey Street, Dublin 1",Restaurant / Bar / Hotel For Sale,2200000,372,Dublin 1
"4 Summer Street North, Dublin 1",Investment Property For Sale,395000,103,Dublin 1
"9 Ossory Road, North Strand, Dublin 1",Investment Property For Sale,350000,67,Dublin 1
"17/18 North Frederick Street, Dublin 1",Retail Unit For Sale,700000,290,Dublin 1
