Name,Latitude,Longitude,Classification
Ig International Management Limited,53.3320989,-6.2304951,Company
Belfius Ireland,53.34924220000001,-6.2462857,Company
Northern Trust Management Services (Ireland) Limited,53.3458585,-6.2507611,Company
Gam Fund Management Limited,53.3458585,-6.2507611,Company
Airbus Financial Services,53.3496284,-6.2463033,Company
Accenture Global Solutions Limited,53.3441421,-6.2387628,Company
Aon Insurance Managers (Dublin) Limited,53.3523922,-6.2542065,Company
Anp International Finance Limited,53.3513574,-6.2482047,Company
Ulster Bank Corporate Banking & Financial Markets,53.34744310000001,-6.253936599999999,Company
Sogeti Ireland,53.3523922,-6.2542065,Company
JP Morgan Bank (Ireland) PLC,53.3448058,-6.2315043,Company
HSBC Securities Services (Ireland) Limited,53.3436578,-6.239462899999999,Company
RBC Investor and Treasury Services Limited (Ireland),53.34681560000001,-6.2535396,Company
BNP Paribas CIB (Ireland),53.34961819999999,-6.246677399999999,Company
Intesa Sanpaolo Bank Ireland,53.34994829999999,-6.247355799999999,Company
Intesa Sanpaolo Bank Ireland,53.34994829999999,-6.247355799999999,Company
Investec Ireland Limited,53.3329045,-6.262198600000001,Company
Pfizer Dublin Treasury Centre,53.3413042,-6.230584899999999,Company
Citi (Ireland HQ),53.34802579999999,-6.2453677,Company
Aig Asset Management (Ireland) Limited,53.3478321,-6.241581800000001,Company
Mitsubishi Ufj Lease & Finance (Ireland) Limited,53.33781099999999,-6.2465533,Company
Intl Investment & Underwriting Limited,53.34132469999999,-6.238931699999999,Company
Willis Management (Dublin) Limited,53.3400748,-6.236763799999999,Company
Mediolanum International Funds Limited,53.33207849999999,-6.231314999999999,Company
Verizon Business,53.3441209,-6.2442125,Company
Brown Brothers Harriman Fund Admin Services (Ireland) Limited,53.3365234,-6.244983299999999,Company
Marsh Management Services (Dublin) Limited,53.3319383,-6.2560367,Company
Bny Mellon Asset Services (Ireland) Limited,53.3486293,-6.241545299999999,Company
International Fund Services (Ireland) Limited,53.345091,-6.2328532,Company
FFH Management Services Limited,53.3319383,-6.2560367,Company
Jazz Pharmaceuticals PLC.,53.3330123,-6.247243699999999,Company
Webzen Inc,53.3464953,-6.2785984,Company
Transaction Network Services (Tns) Limited,53.3324183,-6.231879999999999,Company
Agfa Limited,53.3410895,-6.2569525,Company
Electrolux Group Ireland Limited,53.3335749,-6.2519953,Company
Allergan Services International Limited,53.3350076,-6.2562639,Company
IBM Intl Treasury Services Company,53.332833,-6.240884299999999,Company
Sgam ( Ireland) Limited,53.3483397,-6.250532199999999,Company
Milliman,53.338734,-6.24004,Company
American College Dublin Limited,53.3381471,-6.248180899999999,Company
Liberty Special Markets (Ireland),53.3302778,-6.2336111,Company
Allied Risk Management Limited,53.3483908,-6.2504651,Company
Seb Life International Limited,53.34552,-6.235659,Company
Seb Life International Limited,53.34565929999999,-6.2356991,Company
Aig Europe Limited,53.3478321,-6.241581800000001,Company
Link IFS Limited,53.34390459999999,-6.2405643,Company
Metzler Ireland Limited,53.3490816,-6.24094,Company
Amundi Asset Management (Ireland),53.34681560000001,-6.2535396,Company
Susquehanna Ireland Limited,53.349712,-6.247880899999999,Company
Critical Path,53.3379517,-6.2421517,Company
Bank Of Montreal Ireland PLC,53.3502368,-6.2497903,Company
SMBC Aviation Capital,53.3483908,-6.2504651,Company
AXA XL,53.3398762,-6.2596886,Company
TD Securities (Ireland),53.3409208,-6.257272,Company
Canada Life Assurance Europe Limited,53.3493471,-6.256965699999999,Company
Canada Life Assurance Europe Limited,53.34897119999999,-6.255185,Company
Euroben Life & Pension Limited,53.3328391,-6.2638815,Company
Belfius Bank SA/NV,53.34924220000001,-6.2462857,Company
Amb Capital (Ireland) Limited,53.3325994,-6.2527665,Company
Amb Capital (Ireland) Limited,53.3325955,-6.2527021,Company
Porsche International Financing Dac,53.3493417,-6.247228199999999,Company
Chubb Insurance Company Of Europe S.a.,53.34961819999999,-6.246677399999999,Company
Jmh Finance Corporation,53.3489564,-6.247024300000001,Company
Investment Technology Group Limited,53.34952430000001,-6.2436919,Company
Ing European Financial Services PLC,53.3375186,-6.2558272,Company
Icbc Financial Leasing Co. Limited (Dublin),53.33873579999999,-6.2385966,Company
Sei Global Fund Services Limited,53.3344321,-6.2621242,Company
Smt Fund Services (Ireland) Limited,53.332769,-6.264202999999999,Company
National Westminster Reinsurance Limited,53.3483908,-6.2504651,Company
W&W Advisory Dublin Limited,53.3358763,-6.2572239,Company
Kdb Ireland Limited,53.3366524,-6.2615393,Company
Fiba Ifsc,53.34557179999999,-6.2332982,Company
Webroot International Limited,53.3471706,-6.2528007,Company
Accenture Global Solutions Limited,53.3392257,-6.2387811,Company
Bbva Ireland PLC,53.3502065,-6.2463536,Company
Credit Suisse International,53.3484165,-6.238060399999999,Company
Credit Suisse International,53.348598,-6.2383568,Company
Murex Advanced Technologies,53.3331724,-6.2316482,Company
Macquarie Aviation Capital Finance Limited,53.3321458,-6.2466783,Company
HSBC Bank PLC (Ireland),53.3436578,-6.239462899999999,Company
HSBC Bank PLC (Ireland),53.34348809999999,-6.2390937,Company
Epsilon Ireland,53.3364524,-6.2520545,Company
Zurich Insurance PLC,53.34957619999999,-6.2502604,Company
Invesco Global Asset Management DAC,53.34498,-6.2349911,Company
Intrepid Aviation,53.3375011,-6.2552514,Company
China Construction Bank International Leasing,53.3370526,-6.2610681,Company
Wells Fargo Bank International,53.3502368,-6.2497903,Company
Guggenheim Partners Europe Limited,53.3439743,-6.2346829,Company
Lantern Structured Asset Management,53.3425626,-6.256766700000001,Company
Lantern Structured Asset Management,53.3415235,-6.2570881,Company
Landesk,53.3336834,-6.2631431,Company
Chc Leasing (Ireland) Limited,53.3385385,-6.268707099999999,Company
Analytic Partners,53.3415196,-6.269255999999999,Company
Aris Global Software Pvt Limited,53.3282145,-6.2317708,Company
Spencer Stuart International Ireland,53.3455701,-6.242335799999999,Company
Telefonica Europe People Services Limited,53.3447974,-6.2439576,Company
Amazon Data Services Ireland Limited,53.3323927,-6.2459666,Company
Amazon Data Services Ireland Limited,53.3306008,-6.247374199999999,Company
Level 3 Communications,53.3407801,-6.264479199999999,Company
Cuna Mutual Group Services (Ireland) Limited,53.3442672,-6.267396199999999,Company
Infineon Technologies Ireland Limited,53.3372126,-6.2740233,Company
Ge Financial Markets,53.34135389999999,-6.2677647,Company
State Street International (Ireland) Limited,53.345091,-6.2328532,Company
Merian,53.33293370000001,-6.2636666,Company
National Bank Of Canada,53.3282145,-6.2317708,Company
Udemy Ireland Limited,53.34557179999999,-6.2332982,Company
Wilmington Trust Sp Services (Dublin) Limited,53.34974829999999,-6.247299099999999,Company
Fideuram Asset Management,53.3458586,-6.2507611,Company
DLL Ireland Company,53.34681560000001,-6.2535396,Company
Arch Reinsurance Europe,53.331414,-6.2316502,Company
Airbus Helicopters International Services Limited,53.34924220000001,-6.2462857,Company
AXA Life Europe dac,53.3482826,-6.267524499999999,Company
Zendesk,53.3304547,-6.2589079,Company
Powerhealth Solutions,53.3412172,-6.2841209,Company
Nitro Pdf,53.3321792,-6.2457596,Company
Nitro Pdf,53.3321792,-6.2457596,Company
GTLK Europe,53.3375011,-6.2552514,Company
Mindtree Limited,53.3484165,-6.238060399999999,Company
Nightowl Discovery,53.3328391,-6.2638815,Company
MUFG Alternative Fund Services (Ireland) Ltd,53.34681560000001,-6.2535396,Company
Informatica Ireland Limited,53.3456989,-6.246268499999999,Company
Bentley Systems International Limited,53.3336252,-6.2613454,Company
Amedeo UK,53.3314919,-6.2310497,Company
China Merchants Bank Financial Leasing (Ireland),53.33873579999999,-6.2385966,Company
Datac Control International Limited,53.341069,-6.267545399999999,Company
Pfizer Global Financial Shared Services (Europe),53.3413042,-6.230584899999999,Company
Societe Generale Securities Services Fund Accounting/Euro Vl,53.3489564,-6.247024300000001,Company
Ci Consultancy Limited T/a Wolter Kluwer Financial Services Ireland,53.3378291,-6.2417149,Company
SS&C,53.34957619999999,-6.2502604,Company
Gerson Lehrman Group,53.3330935,-6.2435766,Company
Nuance Communications Ireland Limited,53.32888149999999,-6.2292299,Company
FireEye (Dublin),53.3469618,-6.2500468,Company
Willis Aviation Finance Limited,53.332691,-6.2473347,Company
Marin Software,53.3381315,-6.2411715,Company
CACI Life Limited & CACI Non-Life Limited,53.34017559999999,-6.264346199999999,Company
Wedo Technologies,53.3328391,-6.2638815,Company
Asset Control Ireland Limited,53.3480512,-6.2426882,Company
Alkermes PLC,53.3330123,-6.247243699999999,Company
Accipiter Holdings Limited,53.3461985,-6.242467299999999,Company
Accipiter Holdings Limited,53.3461985,-6.242467299999999,Company
Kyne Ireland,53.338269,-6.253212,Company
Search Optics Ireland,53.3372126,-6.2740233,Company
Espirito Santo Investment PLC,53.3501172,-6.2578169,Company
Pinterest (Ireland),53.3477924,-6.2337608,Company
Pinterest (Ireland),53.3476006,-6.2333678,Company
Microchip - Dublin 7,53.3466549,-6.269337999999999,Company
Procuro Euro Limited,53.3238686,-6.261281599999999,Company
BioMarin Ireland Limited,53.3358763,-6.2572239,Company
Cloudbeds Dublin,53.3430123,-6.2801478,Company
Venterra Realty Ireland,53.334092,-6.2514804,Company
