Name,Reviews,Price,Cuisines,Link,RankingN,Ranking,Rating,Hotel,Tourism,University,Cafe,Pub,Luas,Museum,Restaurant,Company,Company KNN,Liffey,District,Price Area
52,52,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
130,130,111,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
79,79,73,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
150,150,138,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
141,141,122,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
28,28,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
25,25,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,26,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
30,30,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
