Name,Commercial Type,Price,sq metres,Neighbourhood,Price per sq metres
"Cleary's Bar, Lounge & Adjacent Barbers Shop, Amiens Street, Dublin 1",Restaurant / Bar / Hotel For Sale,1500000.0,301.0,Dublin 1,4983.39
"21 Ormond Quay Upper, Dublin 1",Restaurant / Bar / Hotel For Sale,2250000.0,570.0,Dublin 1,3947.37
"308 The Capel Building, Mary Street, Dublin 1",Office For Sale,180000.0,38.0,Dublin 1,4736.84
"Independent House, Talbot Street, Dublin 1",Investment Property For Sale,29000000.0,4173.0,Dublin 1,6949.44
"3, 4 & 5 Dorset Street Lower, Dublin 1",Investment Property For Sale,2300000.0,1592.0,Dublin 1,1444.72
"31 Liffey Street Upper, Dublin 1",Investment Property For Sale,1400000.0,4.0,Dublin 1,350000.0
"34 Liffey Street Lower, Dublin 1",Retail Unit For Sale,850000.0,50.0,Dublin 1,17000.0
"32 Liffey Street Lower, Dublin 1",Retail Unit For Sale,850000.0,55.0,Dublin 1,15454.55
"23 Liffey Street Upper, Dublin 1",Retail Unit For Sale,1100000.0,161.0,Dublin 1,6832.3
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",Restaurant / Bar / Hotel For Sale,2750000.0,560.0,Dublin 1,4910.71
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",Investment Property For Sale,2750000.0,560.0,Dublin 1,4910.71
"37 North Lotts, off Bachelors walk, Dublin 1",Office For Sale,325000.0,55.0,Dublin 1,5909.09
"625 North Circular Road, Dublin 1",Investment Property For Sale,1100000.0,211.0,Dublin 1,5213.27
"Modern Office, Ormond Quay Lower, Dublin 1",Investment Property To Let or For Sale,1300000.0,465.0,Dublin 1,2795.7
"11/11A Ormond Quay Lower, Dublin 1",Office To Let or For Sale,1300000.0,465.0,Dublin 1,2795.7
"67 Upper Dorset Street, Dublin 1",Investment Property For Sale,650000.0,246.0,Dublin 1,2642.28
"11 North King Street, Dublin 1",Investment Property For Sale,475000.0,93.0,Dublin 1,5107.53
"The Chancery Inn 1 Inns Quay/37 Charles Street West, Smithfield, Dublin 1",Investment Property For Sale,1350000.0,405.0,Dublin 1,3333.33
"14 Capel Street, Dublin 1",Investment Property For Sale,1300000.0,393.0,Dublin 1,3307.89
"32 Lower Ormond Quay, Dublin 1, Dublin 1",Investment Property For Sale,700000.0,314.0,Dublin 1,2229.3
"The Flowing Tide Pub, 9 Lower Abbey Street, Dublin 1",Restaurant / Bar / Hotel For Sale,2200000.0,372.0,Dublin 1,5913.98
"4 Summer Street North, Dublin 1",Investment Property For Sale,395000.0,103.0,Dublin 1,3834.95
"9 Ossory Road, North Strand, Dublin 1",Investment Property For Sale,350000.0,67.0,Dublin 1,5223.88
"17/18 North Frederick Street, Dublin 1",Retail Unit For Sale,700000.0,290.0,Dublin 1,2413.79
"510 North Circular Road, North Circular Road, Dublin 1",Investment Property For Sale,500000.0,154.0,Dublin 1,3246.75
"33 Bachelors Walk, Dublin 1",Investment Property For Sale,1300000.0,288.0,Dublin 1,4513.89
"Dorset St Lwr, Dublin 1",Investment Property For Sale,2300000.0,1700.0,Dublin 1,1352.94
"1 Frenchman's Lane & 58 Gardiner Street Lower, Dublin 1",Investment Property For Sale,600000.0,164.0,Dublin 1,3658.54
"565 North Circular Road, North Circular Road, Dublin 1",Investment Property For Sale,1100000.0,288.0,Dublin 1,3819.44
"8-9 Dorset Street Lower, Dublin 1",Investment Property For Sale,800000.0,269.0,Dublin 1,2973.98
"93 Derrynane Square, Dorset Street, Dublin 1",Investment Property For Sale,295000.0,52.0,Dublin 1,5673.08
"446A, North Circular Road, Dublin 1",Investment Property For Sale,195000.0,116.0,Dublin 1,1681.03
"446A, North Circular Road, Dublin 1, D01 T9F4, Dublin 1",Investment Property For Sale,195000.0,116.0,Dublin 1,1681.03
"43 Lower Leeson Street, Dublin 2",Investment Property For Sale,2300000.0,367.0,Dublin 2,6267.03
"Ormond Quay Lower, Dublin 2",Investment Property To Let or For Sale,1300000.0,465.0,Dublin 2,2795.7
"3 Kingram Place, South City Centre, D02 X893, Dublin 2",Office For Sale,1250000.0,192.0,Dublin 2,6510.42
"12 BRUNSWICK PLACE D02 PA09 BRUNSWICK PLACE, South City Centre, BRUNSWICK PLACE, D02 PA09, Dublin 2",Industrial Unit For Sale,700000.0,229.0,Dublin 2,3056.77
