Name,Latitude,Longitude,Classification
Matt The Rashers,53.32045912742615,-6.291814,Cafe
Brew 204,53.322779000000004,-6.279299,Cafe
Green Fox Café,53.322396,-6.2794870000000005,Cafe
Noshington Cafe,53.324312235759784,-6.279609616240134,Cafe
Kylemore Cafe,53.32269700428402,-6.265252293740665,Cafe
White Pepper Cafe,53.323555061023896,-6.2651892425057945,Cafe
Isabella's cafe,53.322766,-6.265556,Cafe
Mima,53.32104340263711,-6.254757946586452,Cafe
Butlers Chocolate Café,53.32456624542825,-6.253398210533764,Cafe
Café Java,53.32452093630325,-6.240511076360754,Cafe
Bakers,53.32202288655999,-6.2366115669649025,Cafe
Panda Play Cafe,53.321526,-6.2287664000000005,Cafe
Gammells,53.32528301478512,-6.254421197330875,Cafe
Canal Bank Café,53.3311835845276,-6.251595128139023,Cafe
Café Java,53.331137800297114,-6.251721987368394,Cafe
Maia,53.330323509352176,-6.231911328638706,Cafe
Roly's Cafe,53.32963677219833,-6.232164233673372,Cafe
Cafe Java,53.330315981833714,-6.231890721714229,Cafe
The Orange Goat,53.330452,-6.2251129999999995,Cafe
Deli-ious,53.332085,-6.295128,Cafe
Noshington Café,53.331431026479024,-6.279729727137167,Cafe
Little Bird,53.332375,-6.2737164000000005,Cafe
Bibi's Cafe,53.33355385527207,-6.272624130264353,Cafe
Alma,53.332449,-6.268992,Cafe
Brother Hubbard South,53.332681727824,-6.265482324880568,Cafe
Monto Cafe,53.33303260509657,-6.264970365449634,Cafe
The Art of Coffee,53.33287944381893,-6.262295501278111,Cafe
Baxter & Greene,53.33269471049975,-6.2635707855289375,Cafe
Doughboys,53.33370134351185,-6.2642782830574,Cafe
Café Sol,53.33269588188287,-6.263430902852511,Cafe
Old Bank Café,53.33281474148797,-6.253206462355517,Cafe
Eathos,53.33369883690246,-6.244699325471553,Cafe
Butlers Chocolate Café,53.331528000000006,-6.232009,Cafe
Marlowe & Co,53.334316,-6.280837,Cafe
DANIEL,53.334906999999994,-6.273834,Cafe
Cake Café,53.33448838783103,-6.265880107804921,Cafe
Fontana Cafe,53.33512520884396,-6.265258465202787,Cafe
Cocu,53.333987472118615,-6.261921020332598,Cafe
Peacock Green,53.33374627807114,-6.261471218002059,Cafe
Peacock Green,53.33424045372287,-6.255265995469331,Cafe
Artizan Food Co,53.33412976687994,-6.2453464118492805,Cafe
Cocu,53.33382151312187,-6.244872269092423,Cafe
High Nelly's Coffee House,53.334542682968795,-6.243644323278028,Cafe
Press Cafe,53.33505764739972,-6.235269426252875,Cafe
Quench,53.333738000000004,-6.2285699999999995,Cafe
Whitty's Restaurant,53.333546999999996,-6.22423,Cafe
Cafe Togo @F2,53.337526312921035,-6.2933265218306325,Cafe
The Arch,53.337599,-6.292868,Cafe
Cafe Du Jour,53.337151,-6.285757,Cafe
Gilli Cafe,53.338022,-6.287178599999999,Cafe
Phoenix Cafe,53.337825,-6.277252,Cafe
The Fumbally,53.33703902062517,-6.2729020485592315,Cafe
Olive Café,53.337179768334295,-6.274075631969215,Cafe
Green Bench Cafe,53.336445,-6.2640676,Cafe
Goose on the Loose,53.33765634855233,-6.265960813140503,Cafe
Cafe Sofia,53.33737237878547,-6.265658891849491,Cafe
Cafe Sol,53.335908258640956,-6.257387594131192,Cafe
Coppa,53.33701482852736,-6.254511424683298,Cafe
Munchies,53.338115854971065,-6.253288755197621,Cafe
Voila,53.337847196332035,-6.2519996644318425,Cafe
Rhubarb Cafe,53.33722843821209,-6.252121925354004,Cafe
Café Sol,53.33768968439097,-6.251821517944336,Cafe
Café Sol,53.336645331512884,-6.248711921510112,Cafe
Canal Express,53.337936,-6.237907,Cafe
Juniors Deli Cafe,53.33715952435395,-6.2342225964389,Cafe
Foodgame,53.33745241241583,-6.234235490380063,Cafe
Farmer Browns,53.337260198921854,-6.2318635348333045,Cafe
coffee DOC,53.339438,-6.29479,Cafe
leopold coffee house,53.339552000000005,-6.294955,Cafe
Pizzeria Hub Cafe,53.33924828448369,-6.2800200812790985,Cafe
Cathedral Cafe,53.33912204964565,-6.272914188242695,Cafe
The Third Space,53.33926773071289,-6.266035079956055,Cafe
Le Centre-Ville,53.34003910317022,-6.262083809714833,Cafe
Hatch & Sons,53.33951478287386,-6.258459815335717,Cafe
TANG by Yogism,53.33960300083728,-6.258673995697211,Cafe
Perc Up Café,53.33975241876243,-6.261434555053711,Cafe
Havana Café,53.340310999148905,-6.260875134438468,Cafe
Rhubarb Cafe,53.338223782642224,-6.253615989791885,Cafe
Füdi,53.339344,-6.245902,Cafe
Camerino Cafe & Bakery,53.339256000000006,-6.246389,Cafe
Angel Park Café & Deli,53.33932637842961,-6.2455737364603126,Cafe
Annie's,53.338078,-6.2365103,Cafe
Cooperage Cafe,53.34189882192628,-6.286788287127234,Cafe
Barge Café,53.341760222490514,-6.286899001567007,Cafe
"Dave's Cafe, Grill & Deli",53.3412025,-6.27854967,Cafe
The Silk Road Café,53.34224422255952,-6.267362236976623,Cafe
Taste!,53.34105076267331,-6.2633662355760125,Cafe
Wolf + Spoon,53.34072688558164,-6.265511131938497,Cafe
Caffe Amore,53.342176285351535,-6.264664742067793,Cafe
Sasha House Petite,53.34163160215936,-6.263819189476499,Cafe
The Pepper Pot,53.34224827252975,-6.261858400464457,Cafe
Bewley's Café & Tea Room,53.341652662541854,-6.260308027267456,Cafe
Butlers Chocolate Café,53.34101119484857,-6.262327400571575,Cafe
Pygmalion Café,53.34219410676322,-6.261931791805685,Cafe
Busyfeet & Coco Café,53.34111637510458,-6.263205070743027,Cafe
Simon's Place,53.34256812621118,-6.264448688671568,Cafe
Metro Café,53.34117189020092,-6.2630898566063395,Cafe
Dolce Sicily,53.340942000000005,-6.2587720000000004,Cafe
Java Republic,53.341085,-6.2562739999999994,Cafe
Butlers Chocolate Café,53.34252558800478,-6.256183519006574,Cafe
The Gallery Café,53.341766,-6.252516,Cafe
Brewbaker Cafe,53.342102043241,-6.254026402218082,Cafe
Coffee Angel South Leinster Street,53.34198779886505,-6.253560736703019,Cafe
Café Sol,53.34139130507678,-6.251320058000673,Cafe
Brambles Deli Café,53.340692000000004,-6.254883,Cafe
Cafe Tri Via,53.341976919900254,-6.250551219952693,Cafe
Café Sol,53.34178459033971,-6.250308039442261,Cafe
Lolly & Cooks,53.34109,-6.245571599999999,Cafe
Il Caffe di Napoli,53.341479396352796,-6.246704456743108,Cafe
The Bridge Cafe,53.341715322959786,-6.228177363621643,Cafe
D4 Deli,53.339984052781325,-6.223819155089205,Cafe
HSQ Café,53.344766398632004,-6.296727721369,Cafe
Groundstate,53.343284,-6.288568,Cafe
U Café,53.34306899999999,-6.290527,Cafe
Hub Grub,53.344201897788466,-6.2833567837803495,Cafe
Manning's Bakery,53.34294809022194,-6.2798377212945224,Cafe
Christ Church Crypt Café,53.34343900274872,-6.271226729183228,Cafe
Queen of Tarts,53.34425548923581,-6.268803518465996,Cafe
Queen of Tarts,53.344055424793844,-6.267618184274339,Cafe
Toffoli,53.34330111335376,-6.269330978393555,Cafe
Bittersweet,53.34385674636586,-6.268975958863951,Cafe
d-café,53.343777,-6.2690269999999995,Cafe
