Name,Latitude,Longitude,Classification
Carla's House,53.31901190000001,-6.2804223,Accommodation
"Modern, homely, recently-renovated 2BR Dublin 6",53.321031100000006,-6.2732633,Accommodation
Luxuries Ensuite Double Bedroom in a family home,53.31563420000001,-6.2820791,Accommodation
D-6 Studios,53.3186578,-6.2699509,Accommodation
Marilyn Mansion,53.315195,-6.275928999999999,Accommodation
Griffith Halls of Residence,53.3303574,-6.279033900000001,Accommodation
Travelodge Dublin City Centre Rathmines,53.32508850000001,-6.2650023999999975,Accommodation
Uppercross House Hotel,53.32085299999999,-6.2651901,Accommodation
Portobello Hotel,53.3303119,-6.2638566,Accommodation
Lasowe Love,53.3195855,-6.2563879,Accommodation
Guesthouse Sallymount Avenue,53.3252236,-6.2512344,Accommodation
Abbeyleigh House,53.329905,-6.250930999999999,Accommodation
Hampton Hotel,53.32581629999999,-6.2428912999999975,Accommodation
Clayton Hotel Burlington Road,53.33067,-6.2487565000000025,Accommodation
Donnybrook Hall,53.3215319,-6.239011599999999,Accommodation
Oaklodge Bed and Breakfast,53.3271807,-6.240282,Accommodation
Morehampton Townhouse Dublin,53.32525099999999,-6.2405110000000015,Accommodation
Herbert Park Hotel,53.3282305,-6.2322773,Accommodation
freudenhaus,53.328459,-6.2857182000000025,Accommodation
Harrington House Hostel,53.3323019,-6.267830600000001,Accommodation
Portobello B&B,53.331998,-6.2732360000000025,Accommodation
Harcourt Hotel,53.33442540000001,-6.2627429,Accommodation
Conrad Dublin,53.33496299999999,-6.257677000000001,Accommodation
Harrington Hall,53.33504419999999,-6.2630294,Accommodation
Jackson Court Hotel,53.3353775,-6.2635989,Accommodation
The Leeson Lodge,53.33171369999999,-6.252968499999999,Accommodation
Kilronan House,53.33291360000001,-6.2595812,Accommodation
Waterloo Lodge Townhouse,53.3311858,-6.244577800000001,Accommodation
Mespil Hotel,53.333284,-6.246879,Accommodation
Leeson Inn Downtown,53.3341966,-6.2552815000000015,Accommodation
Ballsbridge Apartments,53.332197,-6.2466661,Accommodation
Number 31,53.33340399999999,-6.253621,Accommodation
Waterloo House,53.3315743,-6.243577600000001,Accommodation
Dylan Hotel Dublin,53.33380920000001,-6.242007900000001,Accommodation
Lansdowne Hotel,53.3324806,-6.241158,Accommodation
Pembroke Townhouse Dublin,53.332506,-6.237973399999998,Accommodation
Baggot Court Townhouse,53.335379,-6.247208000000001,Accommodation
Latchfords Townhouse of Baggot Street,53.33567530000001,-6.247722800000001,Accommodation
Clayton Hotel Ballsbridge,53.3259914,-6.225363599999999,Accommodation
Ballsbridge Hotel,53.3322257,-6.234391099999999,Accommodation
InterContinental Dublin,53.3266078,-6.226078999999999,Accommodation
Roxford Lodge Hotel,53.3354071,-6.2371360000000005,Accommodation
PREMIER SUITES PLUS Dublin Ballsbridge,53.32775880000001,-6.2256852999999985,Accommodation
Andorra Bed And Breakfast,53.3257002,-6.2230643,Accommodation
Sandymount Hotel,53.33358079999999,-6.224403199999999,Accommodation
Ariel House,53.33411940000001,-6.2310972000000024,Accommodation
Butlers Townhouse,53.33404820000001,-6.232274400000001,Accommodation
Guinness Cottage,53.33695489999999,-6.296954599999999,Accommodation
Destiny Student - New Mill (Campus Accommodation),53.33718519999999,-6.277428199999999,Accommodation
Camden Court Hotel,53.3352616,-6.2652196,Accommodation
Times Hostels - Camden Place,53.335427,-6.264625999999999,Accommodation
The Camden Hotel,53.33594000000001,-6.265624,Accommodation
