Name,Latitude,Longitude,Classification
Stoneboat,53.3206722432407,-6.292227745526691,Pub
McGarrys,53.3216904918104,-6.279568847508191,Pub
Peggy Kellys Lounge,53.3238486147902,-6.27855128038113,Pub
McGowan's,53.323330000000006,-6.280096,Pub
Rosie O'Gradys,53.32042039776729,-6.279167155668111,Pub
Rody Bolands,53.321160230360896,-6.2653687376013,Pub
The Bowery,53.324304809900106,-6.26494890510026,Pub
M B Slattery's,53.322100496097,-6.26586220321891,Pub
Mother Reillys Bar & Restaurant,53.3207846010731,-6.26533357192945,Pub
Taphouse,53.325130558915994,-6.254352239168509,Pub
McSorley's,53.323335534001,-6.250068133680849,Pub
Smyth's of Ranelagh,53.324145672926505,-6.25245055869774,Pub
Birchalls,53.323353531676204,-6.250219776579959,Pub
T. Humphreys,53.3241629663591,-6.25230749412874,Pub
McCloskeys,53.3254453087716,-6.2407185212906695,Pub
Arthur Mayne's Pub,53.32162911008351,-6.2352647825903205,Pub
Ciss Madden's,53.322331999999996,-6.236676,Pub
Longs,53.322196770785595,-6.2364363670349094,Pub
Harold House,53.328371,-6.274506,Bar
The Grove Inn,53.32973198087,-6.27069127629276,Pub
Blackbird,53.3268708992674,-6.2648036637060205,Pub
The Bowery,53.324304809900106,-6.26494890510026,Pub
The Portobello,53.3301657772182,-6.264109440039201,Pub
Taphouse,53.325130558915994,-6.254352239168509,Pub
The Hill,53.326743237062,-6.258362550142231,Pub
Corrigans Bar & Lounge,53.3273986223989,-6.25507605982288,Pub
Mespil Bar,53.330225497097594,-6.2488281015430704,Pub
McCloskeys,53.3254453087716,-6.2407185212906695,Pub
The Bridge 1859,53.3293188357814,-6.23176753877136,Pub
Paddy Cullen's,53.3288918226529,-6.230473827823451,Pub
Mary Mac's,53.328838339736,-6.23058277510184,Pub
Crowes,53.3288667751735,-6.230706214534839,Pub
The Bridge 1859,53.3293188357814,-6.23176753877136,Pub
Paddy Cullen's,53.3288918226529,-6.230473827823451,Pub
Horse Show House,53.3286510743047,-6.228848449375679,Pub
Mary Mac's,53.328838339736,-6.23058277510184,Pub
Crowes,53.3288667751735,-6.230706214534839,Pub
Lowe's,53.3337812493509,-6.29087631419026,Pub
Lowe's,53.3337812493509,-6.29087631419026,Pub
57 The Headline,53.332436,-6.275473000000001,Pub
Leonard's Corner,53.332246558897104,-6.27521856538296,Pub
MVP,53.330481999999996,-6.2754707000000005,Pub
57 The Headline,53.332436,-6.275473000000001,Pub
Leonard's Corner,53.332246558897104,-6.27521856538296,Pub
The Grove Inn,53.32973198087,-6.27069127629276,Pub
The Bernard Shaw,53.3317121177475,-6.2642640723932805,Pub
J O'Connell,53.330648877971605,-6.264318237265071,Pub
The Bleeding Horse,53.3336117867054,-6.2648855271951405,Pub
Camden Exchange,53.335083,-6.265473,Pub
Anseo,53.335319173537904,-6.2652243068888405,Pub
The Portobello,53.3301657772182,-6.264109440039201,Pub
Cassidy's,53.3340209001384,-6.265095517482309,Bar
The Lower Deck,53.3306858346669,-6.26520101914857,Pub
The Black Door,53.3342950075055,-6.26285588310248,Bar
The Barge,53.3304927456238,-6.26052495338891,Pub
Alfie Byrne's,53.334713957508896,-6.25759682999282,Pub
Kobra Bar,53.333955,-6.255158,Pub
M O'Brien's Bar & Lounge,53.331294134609,-6.251571808386849,Pub
The Leeson Lounge,53.3313,-6.2519903,Pub
The Sussex,53.33133191458511,-6.251560762172169,Gastropub
Mespil Bar,53.330225497097594,-6.2488281015430704,Pub
The Waterloo Bar,53.3332586053406,-6.24337990835938,Pub
Searson's,53.33321667889871,-6.243006639411139,Pub
The 51 Bar,53.334732037645395,-6.24250752660753,Pub
Smyths of Haddington Road,53.3346991235061,-6.24327476824324,Pub
The Wellington,53.33402759113051,-6.24526338126583,Pub
The Dubliner,53.3319901342124,-6.234460838598849,Pub
The Bird Flanagan,53.3365613342062,-6.29919591806609,Pub
The Circular,53.336201,-6.297937,Pub
Tenters Gastropub,53.337125,-6.275574,Pub
Pimlico Tavern,53.3401764925105,-6.2809522373919,Pub
The Lamplighter,53.339864,-6.277998999999999,Pub
The Fourth Corner,53.338924,-6.2724113,Pub
Fallon's Pub,53.33909534288011,-6.27302643348212,Pub
Tenters Gastropub,53.337125,-6.275574,Pub
Whelan's,53.336594674733604,-6.26558419653389,Pub
Devitt's,53.335558,-6.2654559999999995,Pub
Club Chonradh na Gaeilge,53.3372101521544,-6.26288171852085,Pub
The Swan Bar,53.339466794064705,-6.265664314804719,Pub
Anseo,53.335319173537904,-6.2652243068888405,Pub
Camden Exchange,53.335083,-6.265473,Pub
The Landmark,53.337433,-6.26593,Pub
Against The Grain,53.3370264001321,-6.26551717970497,Beer Bar
The Lucky Duck,53.33837976614329,-6.266021972951091,Pub
The Jar,53.336992044319295,-6.265688250393731,Pub
Ryan's,53.336414796266496,-6.26563579363873,Pub
Flannerys,53.3360584257339,-6.265312109162821,Pub
Cassidy's,53.3340209001384,-6.265095517482309,Bar
Dicey's Garden,53.335858053314,-6.263961320677309,Beer Garden
Planet Murphy's,53.3358702954949,-6.26538276672363,Pub
The Black Door,53.3342950075055,-6.26285588310248,Bar
The Camden,53.33599399999999,-6.265587,Pub
O'Donoghue's,53.3383143721128,-6.25416191910796,Pub
Doheny & Nesbitt,53.33805866507179,-6.25289382801867,Pub
Alfie Byrne's,53.334713957508896,-6.25759682999282,Pub
Hartigan's,53.3359300807092,-6.2568901163162804,Pub
Club Chonradh na Gaeilge,53.3372101521544,-6.26288171852085,Pub
Reillys,53.3382522634663,-6.253491846915639,Pub
The Dawson Lounge,53.339672603928,-6.2586680605421305,Pub
Peruke & Periwig,53.34008607089171,-6.25854214051159,Cocktail Bar
Houricans,53.3357032927089,-6.256644537472289,Pub
Madigan’s,53.3360092791641,-6.2570378066757595,Pub
Napper Tandy's,53.338319999999996,-6.2544694000000005,Pub
Chambers Pub,53.338303,-6.254472,Pub
Toners Pub,53.3378379865594,-6.25240970984067,Pub
Doheny & Nesbitt,53.33805866507179,-6.25289382801867,Pub
O'Donoghue's,53.3383143721128,-6.25416191910796,Pub
Matt The Thresher,53.3370498724294,-6.25177301994876,Pub
McGrattan's Cafe Bar,53.338605541618605,-6.25126489919405,Bar
Reillys,53.3382522634663,-6.253491846915639,Pub
Napper Tandy's,53.338319999999996,-6.2544694000000005,Pub
Chambers Pub,53.338303,-6.254472,Pub
The Schoolhouse Bar,53.3373418499578,-6.239585178618901,Pub
The 51 Bar,53.334732037645395,-6.24250752660753,Pub
Smyths of Haddington Road,53.3346991235061,-6.24327476824324,Pub
Oil Can Harry's,53.3385091619193,-6.24315388700681,Bar
Becky Morgans,53.339917705314505,-6.2420681966324105,Pub
The Bath,53.337374176474896,-6.23214776075289,Pub
Beggar's Bush,53.3364414273149,-6.237074738034529,Pub
The Schoolhouse Bar,53.3373418499578,-6.239585178618901,Pub
Slattery's,53.3371830668052,-6.23454879821078,Pub
The Gasworks Bar,53.33811,-6.237409599999999,Pub
The Old Spot,53.3373335739081,-6.23311445896802,Gastropub
The Bath,53.337374176474896,-6.23214776075289,Pub
The Vintage Inn,53.338809978954004,-6.22304786665645,Pub
Sober Lane,53.3385450282355,-6.22302265526063,Pub
Pilsworth & Ruddell Pub,53.342263438989605,-6.294372081756589,Pub
Kennys Pub,53.342431000000005,-6.294404,Pub
Harkins Bar,53.342431350984704,-6.28820318856673,Bar
Guinness Storehouse,53.3418895355902,-6.286733803765019,Brewery
Arthur's Bar,53.341807847128706,-6.2866634130477905,Pub
McCanns,53.3437759201666,-6.290357955489769,Pub
Arthur's Pub,53.34326,-6.281174,Pub
Bakers Bar,53.342797969802895,-6.27891677811753,Pub
Thomas House,53.3429989171488,-6.27672975385489,Pub
The Clock,53.3429274210994,-6.27919218201204,Pub
Beer Market,53.343245728556795,-6.273416811472959,Pub
FXB Bull and Castle,53.343404014333004,-6.27014523874239,Pub
The Fourth Corner,53.338924,-6.2724113,Pub
Darkey Kelly's,53.343936,-6.270008,Pub
Lord Edward Pub & Restaurant,53.343255502876794,-6.27010943226206,Pub
Fallon's Pub,53.33909534288011,-6.27302643348212,Pub
Thomas House,53.3429989171488,-6.27672975385489,Pub
The Liberty Belle,53.34158000000001,-6.2747746,Pub
P. Mac’s,53.3412421028261,-6.26426407358377,Pub
The Stag's Head,53.3438613603942,-6.26353760982456,Pub
The Long Hall,53.341786863588496,-6.26507838968486,Pub
Grogan's,53.34223766558271,-6.26252901070894,Pub
The Hairy Lemon,53.341176137776,-6.2639225230446,Pub
Bar with No Name / Bar No.3 / Kelly's / The Snail,53.3419357885594,-6.26428984736992,Pub
Hogan's Bar,53.34207529764811,-6.26464387871356,Pub
Peadar Kearney's,53.3442588459327,-6.2653215312447,Pub
Neary's,53.3407738497651,-6.26115984761172,Pub
The Swan Bar,53.339466794064705,-6.265664314804719,Pub
The Market Bar,53.342327837419205,-6.26399448694016,Pub
Sheehan's,53.34096987627,-6.26184061105378,Pub
The Oak,53.3441605959904,-6.26699266921133,Pub
Bar Rua,53.3409863095767,-6.2623536185298,Pub
Foggy Dew,53.344387,-6.2634788,Pub
The Dame Tavern,53.34378542051579,-6.263822810964331,Pub
Peter's Pub,53.3409556599935,-6.26335948190811,Pub
The International,53.343030343743294,-6.2619097098423095,Pub
The Globe,53.3433562028578,-6.2644571512633895,Pub
Bruxelles,53.34130514416061,-6.26092386232483,Pub
The Bankers,53.344015427118705,-6.26235467305675,Pub
The Mezz,53.34475142353661,-6.26479340280194,Pub
Mulligan And Haines,53.3441869770973,-6.26345408760474,Pub
Pygmalion,53.342115682887794,-6.2620488894414805,Bar
McDaid's,53.3413220330788,-6.26094405873114,Pub
Lord Edward Pub & Restaurant,53.343255502876794,-6.27010943226206,Pub
Sinnotts Bar,53.34018209955521,-6.261637922020889,Pub
The Trinity,53.344267060030205,-6.26358104203825,Pub
Mary's,53.342794632472106,-6.26035623604896,Pub
The Old Stand,53.3430897768979,-6.262041255315419,Sports Bar
Fade St. Social,53.34186371351729,-6.26380040160535,Gastropub
The Rag Trader,53.342796404539605,-6.26277619504148,Pub
Legends Bar,53.3439919338452,-6.268221251390081,Pub
Harry's on the Green,53.3405165606166,-6.2629983120067205,Pub
Crowbar,53.3450138357945,-6.26428617578918,Bar
The Mercantile Bar & Grill,53.344135069149296,-6.26407280464247,Pub
Brogan's,53.3441776182211,-6.26635064130053,Pub
Johnny Rush's,53.342834776733504,-6.262238917208049,Pub
Citi Bar & Venue,53.3442504355,-6.26364081088256,Pub
The George,53.3437204311845,-6.26447546525877,Gay Bar
Kehoe's,53.3411430737123,-6.2594365036981605,Pub
The Porterhouse Central,53.3431851778559,-6.25939449587182,Pub
The Duke,53.34191840720679,-6.2587877484422005,Pub
Grogan's,53.34223766558271,-6.26252901070894,Pub
Neary's,53.3407738497651,-6.26115984761172,Pub
O'Neills Bar & Restaurant,53.3438681996721,-6.26081237896706,Pub
Bruxelles,53.34130514416061,-6.26092386232483,Pub
Sheehan's,53.34096987627,-6.26184061105378,Pub
Bailey Bar Dublin,53.34196365125771,-6.25944479451374,Pub
McDaid's,53.3413220330788,-6.26094405873114,Pub
Jp Mooneys,53.342014,-6.2548094,Pub
The International,53.343030343743294,-6.2619097098423095,Pub
37 Dawson Street,53.340558071686495,-6.25862996524676,Bar
Mary's,53.342794632472106,-6.26035623604896,Pub
Bar Rua,53.3409863095767,-6.2623536185298,Pub
O'Donoghues,53.343418809830105,-6.259661504062031,Pub
Pygmalion,53.342115682887794,-6.2620488894414805,Bar
Sinnotts Bar,53.34018209955521,-6.261637922020889,Pub
Café en Seine,53.3406944940634,-6.258701805764849,Bar
Peruke & Periwig,53.34008607089171,-6.25854214051159,Cocktail Bar
The Old Stand,53.3430897768979,-6.262041255315419,Sports Bar
The Dawson Lounge,53.339672603928,-6.2586680605421305,Pub
Lincoln's Inn,53.3418375487465,-6.2524090800662195,Pub
Davy Byrnes,53.3419058997511,-6.2593591571387,Gastropub
The Rag Trader,53.342796404539605,-6.26277619504148,Pub
Johnny Rush's,53.342834776733504,-6.262238917208049,Pub
O'Neill's,53.344112396240206,-6.26090526580811,Pub
The Ginger Man,53.341859,-6.24958,Pub
Kennedy's,53.3420972741492,-6.250642632495559,Pub
Jp Mooneys,53.342014,-6.2548094,Pub
The Lombard,53.344223,-6.248787,Pub
Lincoln's Inn,53.3418375487465,-6.2524090800662195,Pub
McGrattan's Cafe Bar,53.338605541618605,-6.25126489919405,Bar
The Square Ball,53.3409647330353,-6.24489856752346,Sports Bar
London Irish Pub,53.342771592038005,-6.2515474456899,Pub
The Square Ball,53.3409647330353,-6.24489856752346,Sports Bar
Becky Morgans,53.339917705314505,-6.2420681966324105,Pub
Padraig Pearse,53.343143999999995,-6.244576,Pub
Scuttle's,53.342122518301295,-6.23521327972412,Pub
The Oarsman,53.341632999999995,-6.2277190000000004,Pub
John Clarke & Son's,53.3416711,-6.2275263,Pub
Nancy Hands,53.3481154412138,-6.29413452330178,Pub
Ryan's,53.3480455452277,-6.29378326797865,Bar
Dillons Parkgate Street,53.348209999999995,-6.294439,Pub
The Millennium Spirits,53.34796590960279,-6.290025546591541,Pub
Millenium,53.3479151852627,-6.29088616427601,Pub
McCanns,53.3437759201666,-6.290357955489769,Pub
Frank Ryan's Bar,53.3469780147741,-6.28006125229071,Pub
Dice Bar,53.347173878386606,-6.28032405506338,Pub
Pifko Bar,53.345964,-6.28031,Pub
The Brazen Head,53.3449817864796,-6.27633505566079,Irish Pub
O'Sheas Merchant,53.345051642008706,-6.27590416922407,Pub
Oscars Café Bar,53.348632177876794,-6.27850171297708,Pub
Christophe's,53.348227310092405,-6.27716046631513,Wine Bar
Hacienda,53.3481875308999,-6.2703793970163,Pub
Sin É,53.345980213176006,-6.2694865155363795,Pub
McNeills,53.347765898476,-6.268583760454219,Pub
Hughes' Pub,53.3467573295407,-6.27251423035161,Pub
The Brazen Head,53.3449817864796,-6.27633505566079,Irish Pub
Slattery's Bar,53.3482841606252,-6.268912553787231,Pub
Jack Nealon's,53.346463075764206,-6.26804807545425,Pub
Darkey Kelly's,53.343936,-6.270008,Pub
O'Sheas Merchant,53.345051642008706,-6.27590416922407,Pub
The Boars Head,53.3473154479398,-6.2683983586038305,Pub
Christophe's,53.348227310092405,-6.27716046631513,Wine Bar
The Temple Bar,53.3454766557522,-6.264191652531401,Pub
The Porterhouse,53.345158607657396,-6.26751661845208,Pub
The Quays,53.3455540670863,-6.26312100060066,Pub
The Old Storehouse,53.345198581191504,-6.262700567062219,Pub
The Church,53.3486064395506,-6.266716011667611,Pub
The Stag's Head,53.3438613603942,-6.26353760982456,Pub
Bad Bobs,53.345134963186204,-6.26592298482985,Pub
Bison Bar & BBQ,53.3454213829497,-6.26635003807339,Pub
Merchant's Arch Bar & Restaurant,53.346421965755205,-6.26305531042032,Pub
