Name,Latitude,Longitude,Classification
Herbert Park,53.32715616909083,-6.234802847745723,Tourism
St Patrick's Park,53.340110370617026,-6.271893684412651,Tourism
Iveagh Gardens,53.33568033551686,-6.261059453641287,Tourism
St Stephen's Green,53.338150925581544,-6.259160041809082,Tourism
Merrion Square Park,53.34013752866365,-6.250450753527079,Tourism
Garden of Remembrance,53.353771898207405,-6.263368436349015,Tourism
Mountjoy Square Park,53.35656430407125,-6.258026792435945,Tourism
Grafton Street,53.34144619794855,-6.260323878421816,Tourism
College Green,53.34439973421035,-6.260429513559224,Tourism
Grand Canal Dock,53.34260914378246,-6.23936201549253,Tourism
Grand Canal Square,53.34390119383642,-6.238461870495741,Tourism
Smithfield Square,53.34937201343414,-6.278967475541082,Tourism
Temple Bar Square,53.34552023801192,-6.26303458549087,Tourism
Parnell Square,53.353977443862455,-6.264508366584778,Tourism
Lansdowne Road DART Station,53.3339985206813,-6.22883380734766,Tourism
Grand Canal Dock Railway Station,53.33953155880477,-6.237296700155354,Tourism
Dublin Pearse Railway Station,53.34329860826153,-6.2482467361181975,Tourism
Dublin Heuston Railway Station,53.34651102669607,-6.292863152881727,Tourism
Tara Street Railway Station,53.34679507191022,-6.253919005393982,Tourism
Dublin Connolly Railway Station,53.351913261768225,-6.248971195838131,Tourism
Aviva Stadium,53.334756158641675,-6.228088097073558,Tourism
Gaiety Theatre,53.3404407305656,-6.2616790055464815,Tourism
Irish Film Institute (IFI),53.344666917714605,-6.2652945948390535,Tourism
Olympia Theatre,53.344650883023796,-6.266013273990457,Tourism
Bord Gáis Energy Theatre,53.344089880104,-6.239203766138307,Tourism
Light House Cinema,53.348690680649106,-6.278976310584666,Tourism
Savoy Cinema,53.351256869038345,-6.260653947937496,Tourism
Teeling Whiskey Distillery,53.33777268667219,-6.277161980781218,Tourism
Jameson Distillery Bow St.,53.34812478051833,-6.2770742783473175,Tourism
Lansdowne Road DART Station,53.3339985206813,-6.22883380734766,Tourism
Grand Canal Dock Railway Station,53.33953155880477,-6.237296700155354,Tourism
Dublin Pearse Railway Station,53.34329860826153,-6.2482467361181975,Tourism
Dublin Heuston Railway Station,53.34651102669607,-6.292863152881727,Tourism
Tara Street Railway Station,53.34679507191022,-6.253919005393982,Tourism
Dublin Connolly Railway Station,53.351913261768225,-6.248971195838131,Tourism
General Post Office (GPO),53.34950703479683,-6.2602769005324586,Tourism
ODEON Point Village,53.348489,-6.227729,Tourism
Cineworld,53.350243920703036,-6.26769608258715,Tourism
The Spire of Dublin,53.349805219053046,-6.260259747505188,Tourism
Trinity College Old Library & The Book of Kells Exhibition,53.34369228474104,-6.256907495689872,Tourism
National Library of Ireland,53.3409670021457,-6.254646777860325,Tourism
Irish Film Institute (IFI),53.344666917714605,-6.2652945948390535,Tourism
Light House Cinema,53.348690680649106,-6.278976310584666,Tourism
Dicey's Garden,53.33585805331403,-6.263961320677308,Tourism
The Dubhlinn Gardens,53.342532468101396,-6.266764104366303,Tourism
The Famine Memorial,53.34805870531647,-6.250107868518107,Tourism
The Foundry,53.34006310147415,-6.2360648810863495,Tourism
Marks & Spencer,53.34221958,-6.25949353,Tourism
Brown Thomas,53.342319858289,-6.259724160306433,Tourism
Marks & Spencer,53.34889494,-6.26473977,Tourism
Arnotts,53.34891322145635,-6.263089915155983,Tourism
Royal Dublin Society (RDS),53.32757996473204,-6.22906836192335,Tourism
The Convention Centre Dublin,53.347623337148505,-6.239657305969852,Tourism
Penneys,53.348886,-6.2665344,Tourism
Penneys,53.348796523209785,-6.260860338861676,Tourism
St Patrick's Cathedral,53.339595570620574,-6.271736936333107,Tourism
Christ Church Cathedral,53.34311042099978,-6.271156571901248,Tourism
Busáras,53.34956666295189,-6.251895679007995,Tourism
Guinness Storehouse,53.3418895355902,-6.286733803765022,Tourism
Guinness Academy,53.34194170129774,-6.286681947553233,Tourism
J.W. Sweetman Craft Brewery,53.34715671128785,-6.258359756962222,Tourism
Hodges Figgis,53.34220235099416,-6.257916902841114,Tourism
Eason,53.34850756772799,-6.260195529372492,Tourism
