Name,Latitude,Longitude,Classification
Arena School of English,53.33476943189974,-6.2632287431554445,University
Plantronics WWSM,53.33521071105719,-6.228241329510372,University
Presentation Room,53.338474,-6.266765,University
Tutorial Room 8,53.338888,-6.26259,University
Newman House,53.336785,-6.260219,University
NCAD,53.343817770117894,-6.277887360243503,University
MEC,53.34181946112113,-6.275675462033187,University
DBS Castle House,53.34335899282259,-6.264466220889082,University
Trinity College,53.3441988069838,-6.257963465659787,University
Ussher Library,53.34300498473638,-6.255906406950686,University
Berkeley Library,53.34361739975458,-6.25623028885145,University
Trinity College | Nassau Street Gate,53.342598238309705,-6.256540545987332,University
Centre for Language and Communication Studies,53.341853597001716,-6.253094060281736,University
"Oifig na Gaeilge, Coláiste na Tríonóide",53.34400458216961,-6.259228894553832,University
Maths Society Common Room,53.34474300000001,-6.252644,University
National College of Ireland (NCIRL),53.34878397063717,-6.2432121018667335,University
Dublin Insitute of Technology,53.35228425223539,-6.259209746196754,University
