Name,Latitude,Longitude
"Cleary's Bar, Lounge & Adjacent Barbers Shop, Amiens Street, Dublin 1",53.3521455,-6.249610499999999
"21 Ormond Quay Upper, Dublin 1",53.3458929,-6.270229
"308 The Capel Building, Mary Street, Dublin 1",53.3466549,-6.269337999999999
"Independent House, Talbot Street, Dublin 1",53.35125,-6.2529067
"3, 4 & 5 Dorset Street Lower, Dublin 1",53.3576333,-6.2632055
"31 Liffey Street Upper, Dublin 1",53.3482371,-6.2642264
"34 Liffey Street Lower, Dublin 1",53.3469497,-6.263478699999999
"32 Liffey Street Lower, Dublin 1",53.3470305,-6.2635011
"23 Liffey Street Upper, Dublin 1",53.3486802,-6.264374699999999
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",53.3521455,-6.249610499999999
"Clearys Pub, Lounge, Shops and Apartments, Dublin 1",53.3521455,-6.249610499999999
"37 North Lotts, off Bachelors walk, Dublin 1",53.3479129,-6.2608973
"625 North Circular Road, Dublin 1",53.3573272,-6.2498195
"Modern Office, Ormond Quay Lower, Dublin 1",53.3461928,-6.2676151
"11/11A Ormond Quay Lower, Dublin 1",53.3463335,-6.266578699999999
"67 Upper Dorset Street, Dublin 1",53.35712359999999,-6.2672444
"11 North King Street, Dublin 1",53.35062259999999,-6.271302100000001
"The Chancery Inn 1 Inns Quay/37 Charles Street West, Smithfield, Dublin 1",53.345675,-6.271838000000001
"14 Capel Street, Dublin 1",53.3469061,-6.2680123
"32 Lower Ormond Quay, Dublin 1, Dublin 1",53.346531,-6.2643435
"The Flowing Tide Pub, 9 Lower Abbey Street, Dublin 1",53.348743,-6.257746
"4 Summer Street North, Dublin 1",53.35691989999999,-6.2528605
"9 Ossory Road, North Strand, Dublin 1",53.3562784,-6.2431245
"17/18 North Frederick Street, Dublin 1",53.3559057,-6.2648651
"510 North Circular Road, North Circular Road, Dublin 1",53.3584442,-6.2560536
"33 Bachelors Walk, Dublin 1",53.3475571,-6.259977
"Dorset St Lwr, Dublin 1",53.3575297,-6.2634896
"Dorset St Lwr, Dublin 1",53.3594057,-6.2616947
"1 Frenchman's Lane & 58 Gardiner Street Lower, Dublin 1",53.3500796,-6.253396899999999
"565 North Circular Road, North Circular Road, Dublin 1",53.3583996,-6.2538735
"8-9 Dorset Street Lower, Dublin 1",53.3602743,-6.2609534
"93 Derrynane Square, Dorset Street, Dublin 1",53.3608,-6.261380700000001
"446A, North Circular Road, Dublin 1",53.3510962,-6.2962425
"446A, North Circular Road, Dublin 1, D01 T9F4, Dublin 1",53.3516004,-6.294974799999999
"446A, North Circular Road, Dublin 1, D01 T9F4, Dublin 1",53.35945419999999,-6.2609129
