Name,Latitude,Longitude,Classification,Line
Fatima Luas stop,53.3384844,-6.2925667,Luas stop,Red
James's Luas stop,53.341938,-6.2934283,Luas stop,Red
Heuston Luas stop,53.3463288,-6.2941303,Luas stop,Red
Museum Luas stop,53.3478272,-6.2867342,Luas stop,Red
Smithfield Luas stop,53.34715,-6.278,Luas stop,Red
Four Courts Luas stop,53.3467994,-6.2734698,Luas stop,Red
Jervis Luas stop,53.3476956,-6.2656661,Luas stop,Red
Abbey Street Luas stop,53.3486455,-6.2581849,Luas stop,Red
Busáras Luas stop,53.3500855,-6.2514507,Luas stop,Red
Busáras Luas stop,53.349921,-6.2520334,Luas stop,Red
George's Dock Luas stop,53.3494735,-6.247568,Luas stop,Red
Mayor Square - NCI Luas stop,53.3491937,-6.2433792,Luas stop,Red
Spencer Dock Luas stop,53.3487745,-6.2370702,Luas stop,Red
Broadstone - DIT Luas stop,53.3540809,-6.273524,Luas stop,Green
Dominick Luas stop,53.3513556,-6.265538,Luas stop,Green
Parnell Luas stop,53.3531053,-6.2605035,Luas stop,Green
O'Connell Upper Luas stop,53.3516119,-6.26103,Luas stop,Green
Marlborough Luas stop,53.3492152,-6.2577065,Luas stop,Green
O'Connell - GPO Luas stop,53.349349,-6.260721,Luas stop,Green
Westmoreland Luas stop,53.3463599,-6.2589757,Luas stop,Green
Trinity Luas stop,53.3452798,-6.2582537,Luas stop,Green
Dawson Luas stop,53.34209,-6.25803,Luas stop,Green
St. Stephen's Green Luas stop,53.3390767,-6.2612408,Luas stop,Green
Harcourt Luas stop,53.33336,-6.26267,Luas stop,Green
Charlemont Luas stop,53.330925,-6.2588345,Luas stop,Green
Ranelagh Luas stop,53.3261319,-6.2561964,Luas stop,Green
