Name,Latitude,Longitude,Link,KNN cluster,Comp cluster,Centroids center,Clusters distances,Weight,Companies weight class,Weight NOR
Tang Cafe,53.3487197,-6.2583985,/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html,3,77.0,788.0,"{0: 1118, 1: 1472, 2: 1518, 3: 574, 4: 2664}",391.96335949986127,High,4.227597551454314
Glovers Alley,53.33964440000001,-6.263466,/Restaurant_Review-g186605-d13477650-Reviews-Glovers_Alley-Dublin_County_Dublin.html,2,90.0,902.0,"{0: 706, 1: 1745, 2: 731, 3: 1310, 4: 2342}",346.53648147342483,High,3.7376370649439807
Darkey Kelly's Bar & Restaurant,53.343513,-6.2710599999999985,/Restaurant_Review-g186605-d6403998-Reviews-Darkey_Kelly_s_Bar_Restaurant-Dublin_County_Dublin.html,0,32.0,1323.0,"{0: 96, 1: 2196, 2: 1395, 3: 1504, 4: 2985}",346.53648147342483,High,3.7376370649439807
Mulberry Garden,53.32265875223265,-6.2368013751977935,/Restaurant_Review-g186605-d2239110-Reviews-Mulberry_Garden-Dublin_County_Dublin.html,4,22.0,2468.0,"{0: 3285, 1: 2322, 2: 1865, 3: 2964, 4: 1006}",309.80927960979085,High,3.3415086388875594
The Landmark,53.3374409,-6.2659032,/Restaurant_Review-g186605-d15590976-Reviews-The_Landmark-Dublin_County_Dublin.html,2,90.0,1164.0,"{0: 763, 1: 1972, 2: 744, 3: 1600, 4: 2408}",436.51258718823436,Highest,4.70809196841936
1900 Restaurant,53.33434800000001,-6.2628519436001575,/Restaurant_Review-g186605-d5504360-Reviews-1900_Restaurant-Dublin_County_Dublin.html,2,90.0,1245.0,"{0: 1162, 1: 1940, 2: 506, 3: 1762, 4: 2130}",436.51258718823436,Highest,4.70809196841936
Chapter One,53.354248597767295,-6.263890167284722,/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html,3,77.0,1501.0,"{0: 1360, 1: 2093, 2: 2195, 3: 1157, 4: 3368}",198.44263884601958,Lowest,2.1403419318582046
Bloom Brasserie,53.33374357549518,-6.244836410330085,/Restaurant_Review-g186605-d1587791-Reviews-Bloom_Brasserie-Dublin_County_Dublin.html,2,90.0,1124.0,"{0: 2108, 1: 1176, 2: 720, 3: 1635, 4: 946}",415.29850699956756,Highest,4.47928335330697
Lemon and Duke Bar,53.34135269999999,-6.2593086,/Restaurant_Review-g186605-d11727304-Reviews-Lemon_and_Duke_Bar-Dublin_County_Dublin.html,2,90.0,574.0,"{0: 890, 1: 1434, 2: 733, 3: 984, 4: 2185}",436.51258718823436,Highest,4.70809196841936
Gerry's Coffee Shop,53.3366158712513,-6.264398533952558,/Restaurant_Review-g186605-d5821541-Reviews-Gerry_s_Coffee_Shop-Dublin_County_Dublin.html,2,90.0,1137.0,"{0: 896, 1: 1914, 2: 621, 3: 1607, 4: 2286}",436.51258718823436,Highest,4.70809196841936
