,Name,Ranking,Reviews,Rating,Price,Cuisines,Address,Latitude,Longitude,Phone,Link,District
0,Tang Cafe,1,502,5,Cheap,"['Cafe', 'European', 'Healthy']","23c Dawson Street, Dublin D02 PW18 Ireland",53.3487197,-6.2583985,+353 86 391 5401,/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html,1
1,Chapter One,8,2386,4.5,Expensive,"['Irish', 'European', 'Contemporary']","18-19 Parnell Sq., Dublin D01 T3V8 Ireland",53.3542485977673,-6.26389016728472,+353 1 873 2266,/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html,1
2,Boco Bar + Oven,22,294,4.5,Average,"['Pizza', 'Pub', 'Gastropub']","57 Bolton Street, Dublin D01 CK40 Ireland",53.3513533151086,-6.26994920744172,+353 1 873 0128,/Restaurant_Review-g186605-d11915576-Reviews-Boco_Bar_Oven-Dublin_County_Dublin.html,1
3,Restaurant SIX,24,180,4.5,Average,"['Irish', 'European', 'Contemporary']","6 Cavendish Row, Upper O'Connell Street Upper O'Connell Street, Dublin D01 V3P6 Ireland",53.3529906,-6.2617293,+353 1 887 1366,/Restaurant_Review-g186605-d13414303-Reviews-Restaurant_SIX-Dublin_County_Dublin.html,1
4,Mr Fox Restaurant,25,444,4.5,Average,"['Irish', 'International', 'Central European']","38 Parnell Square West, Dublin Ireland",53.35297315,-6.26508178936863,+353 1 874 7778,/Restaurant_Review-g186605-d11804698-Reviews-Mr_Fox_Restaurant-Dublin_County_Dublin.html,1
5,Lovinspoon,27,376,4.5,Cheap,"['Irish', 'Cafe', 'European']","13 North Fredrick Street, Dublin Ireland",53.3556416,-6.2645931,+353 86 360 5653,/Restaurant_Review-g186605-d3337240-Reviews-Lovinspoon-Dublin_County_Dublin.html,1
6,One Society,34,85,5,Average,"['Italian', 'Irish', 'Pizza']","1 Lower Gardiner Steet Mountjoy, Dublin Ireland",53.35404,-6.2565665,+353 1 537 5261,/Restaurant_Review-g186605-d15360635-Reviews-One_Society-Dublin_County_Dublin.html,1
7,Eatokyo Asian Street Food,37,68,5,Average,"['Japanese', 'Sushi', 'Vegetarian Friendly']","Talbot Street Number 4, Dublin D01 X8F8 Ireland",53.3503766,-6.2574863,+353 1 878 2612,/Restaurant_Review-g186605-d15319186-Reviews-Eatokyo_Asian_Street_Food-Dublin_County_Dublin.html,1
8,Brannigan's,61,290,4.5,Average,"['Irish', 'Bar', 'European']","9 Cathedral Street, Dublin Ireland",53.35038505,-6.25978801239679,,/Restaurant_Review-g186605-d4831269-Reviews-Brannigan_s-Dublin_County_Dublin.html,1
9,Host,81,117,4.5,Average,"['Italian', 'Mediterranean', 'European']","Rere of 7 13 Ranelagh Road, Dublin Ireland",53.3488157,-6.22960687437842,+353 1 561 2617,/Restaurant_Review-g186605-d12952719-Reviews-Host-Dublin_County_Dublin.html,1
10,McGettigans Cookhouse & Bar,114,621,4.5,Average,"['Irish', 'Bar', 'International']","Amiens Street, Dublin 1 Ireland",53.3516917,-6.2501036,+353 1 836 3136,/Restaurant_Review-g186605-d3859070-Reviews-McGettigans_Cookhouse_Bar-Dublin_County_Dublin.html,1
11,Boojum - Millenium Walkway,115,641,4.5,Cheap,"['Mexican', 'Fast food', 'Central American']","Millennium Walkway, Dublin Dublin 1 Ireland",53.3472381,-6.2653803,+353 1 872 9499,/Restaurant_Review-g186605-d1733560-Reviews-Boojum_Millenium_Walkway-Dublin_County_Dublin.html,1
12,Lemon Jelly Cafe,116,644,4.5,Average,"['Irish', 'Cafe', 'European']","Unit 11 Millennium Walkway Dublin 1, Dublin D01 Y027 Ireland",53.3470921,-6.2654609,+353 1 873 5161,/Restaurant_Review-g186605-d1096316-Reviews-Lemon_Jelly_Cafe-Dublin_County_Dublin.html,1
13,Thai Spice,121,349,4.5,Average,"['Thai', 'Vegetarian Friendly', 'Vegan Options']","3A Talbot Place, Dublin 1 Ireland",53.351012305873,-6.2513005356729,+353 1 855 0226,/Restaurant_Review-g186605-d812875-Reviews-Thai_Spice-Dublin_County_Dublin.html,1
14,Musashi Noodles & Sushi Bar,123,673,4.5,Average,"['Japanese', 'Seafood', 'Sushi']","15 Capel Street Dublin 1, Dublin Dublin 1 Ireland",53.3469681782904,-6.26814655410445,+353 1 532 8057,/Restaurant_Review-g186605-d2515200-Reviews-Musashi_Noodles_Sushi_Bar-Dublin_County_Dublin.html,1
15,Lanigans Pub Eden Quay,129,194,4.5,Cheap,"['Irish', 'Bar', 'European']","10 Eden Quay, Dublin Ireland",53.3480297,-6.25790607337404,+353 1 874 3535,/Restaurant_Review-g186605-d7270006-Reviews-Lanigans_Pub_Eden_Quay-Dublin_County_Dublin.html,1
16,Mochaland Cafe,134,778,4.5,Cheap,"['Cafe', 'Mediterranean', 'European']","20 Lower Ormond Quay, Dublin 0000 Ireland",53.346338,-6.265642,+353 1 874 9029,/Restaurant_Review-g186605-d6894236-Reviews-Mochaland_Cafe-Dublin_County_Dublin.html,1
17,Musashi IFSC,135,255,4.5,Average,"['Japanese', 'Sushi', 'Asian']","Unit 2, Burton Hall, Custom House Square Mayor Street, Dublin Ireland",53.349629,-6.2434457,+353 1 555 7373,/Restaurant_Review-g186605-d2701767-Reviews-Musashi_IFSC-Dublin_County_Dublin.html,1
18,Bar Italia ristorante,145,746,4.5,Average,"['Italian', 'Pizza', 'Mediterranean']","26 Lower Ormond Quay, Dublin D1 Ireland",53.349215277167,-6.24339334502929,+353 1 874 1000,/Restaurant_Review-g186605-d788204-Reviews-Bar_Italia_ristorante-Dublin_County_Dublin.html,1
19,The Celt Pub,149,1969,4.5,Average,"['Irish', 'Bar', 'European']","81 Talbot Street, Dublin Ireland",53.3505727,-6.2548867,+353 1 878 8655,/Restaurant_Review-g186605-d3205289-Reviews-The_Celt_Pub-Dublin_County_Dublin.html,1
20,Murray's Bar,152,3817,4.5,Average,"['Irish', 'Brew Pub', 'British']","33-34 O'Connell St. Upper only 100 meters from the GPO, Dublin Dublin 1 Ireland",53.35246,-6.2609,+353 1 878 7505,/Restaurant_Review-g186605-d1599708-Reviews-Murray_s_Bar-Dublin_County_Dublin.html,1
21,Madigan's Pub North Earl Street,164,348,4.5,Average,"['Irish', 'Bar', 'Pub']","25 North Earl Street, Dublin Ireland",53.35008165,-6.2593467,+353 1 874 0646,/Restaurant_Review-g186605-d6387249-Reviews-Madigan_s_Pub_North_Earl_Street-Dublin_County_Dublin.html,1
