Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 12,53.322556,-6.291964,Pickles Deli,53.321020981688164,-6.29301519753297,Deli / Bodega
Dublin 12,53.322556,-6.291964,Monto Cafe,53.32075174873933,-6.292582590583063,Diner
Dublin 12,53.322556,-6.291964,Apache Pizza,53.32297149367762,-6.2952671944877,Pizza Place
Dublin 12,53.322556,-6.291964,Matt The Rashers,53.32045912742615,-6.291814,Café
Dublin 6,53.322556,-6.281214,Craft Restaurant,53.322698,-6.279316,Restaurant
Dublin 6,53.322556,-6.281214,Brew 204,53.322779,-6.279299,Café
Dublin 6,53.322556,-6.281214,Green Fox Café,53.322396,-6.279487,Café
Dublin 6,53.322556,-6.281214,Noshington Cafe,53.324312235759784,-6.279609616240134,Café
Dublin 6,53.322556,-6.281214,Poppadom,53.320836,-6.278803,Indian Restaurant
Dublin 6,53.322556,-6.27763,Craft Restaurant,53.322698,-6.279316,Restaurant
Dublin 6,53.322556,-6.27763,Brew 204,53.322779,-6.279299,Café
Dublin 6,53.322556,-6.27763,Green Fox Café,53.322396,-6.279487,Café
Dublin 6,53.322556,-6.27763,Poppadom,53.320836,-6.278803,Indian Restaurant
Dublin 6,53.322556,-6.27763,Noshington Cafe,53.324312235759784,-6.279609616240134,Café
Dublin 6,53.322556,-6.270464,Bombay Pantry,53.322180236166794,-6.267244006222508,Indian Restaurant
Dublin 6,53.322556,-6.270464,Leo Burdock's,53.32222861883135,-6.267244471816117,Fast Food Restaurant
Dublin 6,53.322556,-6.270464,Saba to Go,53.322155666720555,-6.267247178606415,Thai Restaurant
Dublin 6,53.322556,-6.270464,Ho Ho,53.322224239808975,-6.267240394286227,Chinese Restaurant
Dublin 6,53.322556,-6.26688,Tippenyaki,53.32255587013584,-6.2651126818761975,Japanese Restaurant
Dublin 6,53.322556,-6.26688,Voici,53.321746,-6.266251,Creperie
Dublin 6,53.322556,-6.26688,Little Ass Burrito Bar,53.321589110715,-6.2667087327804,Burrito Place
Dublin 6,53.322556,-6.26688,Manifesto,53.323851394640414,-6.265345862474759,Pizza Place
