Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 4,53.327363,-6.227464,Tutankhamun Exhibition RDS,53.32721357,-6.229273,Museum
Dublin 8,53.332171,-6.272853,Irish Jewish Museum,53.330668,-6.269557,History Museum
Dublin 8,53.332171,-6.272853,Shaw's Birthplace,53.33241038166092,-6.267531398109853,History Museum
Dublin 2,53.332171,-6.265288,Shaw's Birthplace,53.33241038166092,-6.267531398109853,History Museum
Dublin 2,53.332171,-6.265288,Irish Jewish Museum,53.330668,-6.269557,History Museum
Dublin 4,53.332171,-6.250158,IMOCA,53.33513548751995,-6.249382506158138,Art Museum
Dublin 4,53.332171,-6.235029,National Print Museum,53.33510415874548,-6.235390099601148,Museum
Dublin 8,53.336978,-6.272853,DiT,53.336970467344756,-6.274445532472012,Science Museum
Dublin 8,53.336978,-6.272853,Bad Art Gallery,53.33942,-6.272735,Art Gallery
Dublin 2,53.336978,-6.265288,KSi Clinch,53.338833,-6.266155,Science Museum
Dublin 2,53.336978,-6.265288,Tutty's Delicatessen,53.339244,-6.263978,Science Museum
Dublin 2,53.336978,-6.265288,Museum Of Literature Ireland (MOLI),53.336781,-6.259871,Museum
Dublin 2,53.336978,-6.257723,The Little Museum of Dublin,53.33947582686932,-6.258417506704857,History Museum
Dublin 2,53.336978,-6.250158,House Number 29 (Georgian House),53.338132715174126,-6.247842236288413,Museum
Dublin 2,53.336978,-6.250158,IMOCA,53.33513548751995,-6.249382506158138,Art Museum
Dublin 2,53.336978,-6.250158,Irish Traditional Music Archive,53.3393098589454,-6.250195387468066,History Museum
Dublin 4,53.336978,-6.235029,National Print Museum,53.33510415874548,-6.235390099601148,Museum
Dublin 4,53.336978,-6.235029,Geological Survey of Ireland,53.336737422864104,-6.235426633172054,Science Museum
Dublin 8,53.341785,-6.295547,Irish Museum of Modern Art,53.34282081935464,-6.30004380430884,Art Museum
Dublin 8,53.341785,-6.295547,Great Hall,53.34294241396025,-6.300112009048462,Art Gallery
Dublin 8,53.341785,-6.287982,Guinness Storehouse,53.3418895355902,-6.286733803765022,Brewery
Dublin 8,53.341785,-6.272853,Dublinia,53.34340964320258,-6.2720579740741185,History Museum
Dublin 8,53.341785,-6.272853,St Audoen's Church,53.34354373601368,-6.274773777860038,Church
Dublin 8,53.341785,-6.272853,St Michael's Tower,53.343131068719366,-6.272276813399355,History Museum
Dublin 8,53.341785,-6.272853,The Contemporary Music Centre,53.344361180532104,-6.2696099281311035,Museum
Dublin 2,53.341785,-6.265288,Chester Beatty Library,53.34216575538019,-6.267362236976623,Art Museum
Dublin 2,53.341785,-6.265288,Irish Rock ‘N’ Roll Museum Experience,53.344975723166236,-6.264443952625773,Museum
Dublin 2,53.341785,-6.265288,Revenue Museum,53.34301767702957,-6.266420781612396,History Museum
Dublin 2,53.341785,-6.257723,Trinity College Old Library & The Book of Kells Exhibition,53.34369228474104,-6.256907495689873,College Library
Dublin 2,53.341785,-6.257723,Freemason's Hall,53.34134790529569,-6.255961586632516,Museum
