Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 6,53.32255600000001,-6.287982,Stoneboat,53.320672243240736,-6.292227745526691,Pub
Dublin 6,53.32255600000001,-6.280417,McGarrys,53.321690491810344,-6.279568847508192,Pub
Dublin 6,53.32255600000001,-6.280417,Peggy Kellys Lounge,53.32384861479021,-6.278551280381129,Pub
Dublin 6,53.32255600000001,-6.280417,McGowan's,53.32333,-6.280096,Pub
Dublin 6,53.32255600000001,-6.280417,Rosie O'Gradys,53.32042039776726,-6.279167155668107,Pub
Dublin 6,53.32255600000001,-6.265288,Rody Bolands,53.32116023036085,-6.265368737601297,Pub
Dublin 6,53.32255600000001,-6.265288,The Bowery,53.32430480990008,-6.264948905100264,Pub
Dublin 6,53.32255600000001,-6.265288,M B Slattery's,53.322100496097,-6.265862203218911,Pub
Dublin 6,53.32255600000001,-6.265288,Mother Reillys Bar & Restaurant,53.320784601073065,-6.265333571929445,Pub
Dublin 6,53.32255600000001,-6.257723,Taphouse,53.32513055891596,-6.254352239168512,Pub
Dublin 6,53.32255600000001,-6.250158,McSorley's,53.32333553400104,-6.250068133680845,Pub
Dublin 6,53.32255600000001,-6.250158,Smyth's of Ranelagh,53.32414567292652,-6.252450558697742,Pub
Dublin 6,53.32255600000001,-6.250158,Birchalls,53.32335353167619,-6.250219776579964,Pub
Dublin 6,53.32255600000001,-6.250158,T. Humphreys,53.32416296635907,-6.252307494128737,Pub
Dublin 6,53.32255600000001,-6.242594,McCloskeys,53.32544530877162,-6.240718521290674,Pub
Dublin 4,53.32255600000001,-6.235029,Arthur Mayne's Pub,53.321629110083485,-6.235264782590321,Pub
Dublin 4,53.32255600000001,-6.235029,Ciss Madden's,53.322332,-6.236676,Pub
Dublin 4,53.32255600000001,-6.235029,Longs,53.32219677078557,-6.236436367034912,Pub
Dublin 6,53.327363,-6.272853,Harold House,53.328371,-6.274506,Bar
Dublin 6,53.327363,-6.272853,The Grove Inn,53.329731980869994,-6.27069127629276,Pub
Dublin 6,53.327363,-6.265288,Blackbird,53.32687089926742,-6.264803663706023,Pub
Dublin 6,53.327363,-6.265288,The Bowery,53.32430480990008,-6.264948905100264,Pub
Dublin 6,53.327363,-6.265288,The Portobello,53.33016577721819,-6.264109440039199,Pub
Dublin 6,53.327363,-6.257723,Taphouse,53.32513055891596,-6.254352239168512,Pub
Dublin 6,53.327363,-6.257723,The Hill,53.326743237061955,-6.258362550142233,Pub
Dublin 6,53.327363,-6.257723,Corrigans Bar & Lounge,53.32739862239889,-6.25507605982288,Pub
Dublin 6,53.327363,-6.250158,Mespil Bar,53.33022549709758,-6.248828101543072,Pub
Dublin 4,53.327363,-6.242594,McCloskeys,53.32544530877162,-6.240718521290674,Pub
Dublin 4,53.327363,-6.235029,The Bridge 1859,53.329318835781386,-6.231767538771356,Pub
Dublin 4,53.327363,-6.235029,Paddy Cullen's,53.328891822652935,-6.230473827823447,Pub
Dublin 4,53.327363,-6.235029,Mary Mac's,53.328838339735995,-6.230582775101836,Pub
Dublin 4,53.327363,-6.235029,Base Wood Fired Pizza,53.328868600263846,-6.230201898193268,Pizza Place
Dublin 4,53.327363,-6.235029,Crowes,53.328866775173545,-6.230706214534839,Pub
Dublin 4,53.327363,-6.235029,Herbert Park Hotel,53.3281886881921,-6.23221330613435,Hotel
Dublin 4,53.327363,-6.227464,The Bridge 1859,53.329318835781386,-6.231767538771356,Pub
Dublin 4,53.327363,-6.227464,Paddy Cullen's,53.328891822652935,-6.230473827823447,Pub
Dublin 4,53.327363,-6.227464,Horse Show House,53.3286510743047,-6.228848449375678,Pub
Dublin 4,53.327363,-6.227464,Mary Mac's,53.328838339735995,-6.230582775101836,Pub
Dublin 4,53.327363,-6.227464,Base Wood Fired Pizza,53.328868600263846,-6.230201898193268,Pizza Place
Dublin 4,53.327363,-6.227464,Crowes,53.328866775173545,-6.230706214534839,Pub
Dublin 4,53.327363,-6.227464,Herbert Park Hotel,53.3281886881921,-6.23221330613435,Hotel
Dublin 4,53.327363,-6.227464,Clayton Hotel Ballsbridge,53.325868558816374,-6.224791752449134,Hotel
Dublin 12,53.332171,-6.295547,Lowe's,53.3337812493509,-6.290876314190258,Pub
Dublin 8,53.332171,-6.287982,Lowe's,53.3337812493509,-6.290876314190258,Pub
Dublin 8,53.332171,-6.280417,57 The Headline,53.332436,-6.275473,Pub
Dublin 8,53.332171,-6.280417,Leonard's Corner,53.332246558897076,-6.275218565382963,Pub
Dublin 8,53.332171,-6.272853,MVP,53.330482,-6.2754707,Pub
Dublin 8,53.332171,-6.272853,57 The Headline,53.332436,-6.275473,Pub
Dublin 8,53.332171,-6.272853,Leonard's Corner,53.332246558897076,-6.275218565382963,Pub
Dublin 8,53.332171,-6.272853,The Grove Inn,53.329731980869994,-6.27069127629276,Pub
Dublin 2,53.332171,-6.265288,The Bernard Shaw,53.3317121177475,-6.2642640723932805,Pub
Dublin 2,53.332171,-6.265288,J O'Connell,53.330648877971605,-6.26431823726507,Pub
Dublin 2,53.332171,-6.265288,The Bleeding Horse,53.33361178670537,-6.264885527195136,Pub
Dublin 2,53.332171,-6.265288,Camden Exchange,53.335083,-6.265473,Pub
Dublin 2,53.332171,-6.265288,Anseo,53.33531917353789,-6.265224306888838,Pub
Dublin 2,53.332171,-6.265288,The Portobello,53.33016577721819,-6.264109440039199,Pub
Dublin 2,53.332171,-6.265288,Cassidy's,53.334020900138356,-6.265095517482308,Bar
Dublin 2,53.332171,-6.265288,The Big Blue Bus,53.331689138340984,-6.264185299918345,Pizza Place
Dublin 2,53.332171,-6.265288,The Dean Hotel,53.33517556156988,-6.263287525894303,Hotel
Dublin 2,53.332171,-6.265288,The Lower Deck,53.33068583466689,-6.2652010191485745,Pub
Dublin 2,53.332171,-6.265288,The Black Door,53.33429500750549,-6.262855883102484,Bar
Dublin 2,53.332171,-6.257723,The Barge,53.33049274562383,-6.260524953388908,Pub
Dublin 2,53.332171,-6.257723,Alfie Byrne's,53.33471395750888,-6.257596829992821,Pub
Dublin 2,53.332171,-6.257723,Conrad Dublin,53.334889469914415,-6.257342172665552,Hotel
Dublin 2,53.332171,-6.257723,Kobra Bar,53.333955,-6.255158,Pub
Dublin 2,53.332171,-6.257723,Hilton,53.3308584582912,-6.259198384882569,Hotel
Dublin 4,53.332171,-6.250158,M O'Brien's Bar & Lounge,53.33129413460899,-6.251571808386853,Pub
Dublin 4,53.332171,-6.250158,The Leeson Lounge,53.3313,-6.2519903,Pub
Dublin 4,53.332171,-6.250158,The Sussex,53.33133191458508,-6.251560762172171,Gastropub
Dublin 4,53.332171,-6.250158,Mespil Bar,53.33022549709758,-6.248828101543072,Pub
Dublin 4,53.332171,-6.242594,The Waterloo Bar,53.333258605340575,-6.243379908359383,Pub
Dublin 4,53.332171,-6.242594,Searson's,53.33321667889869,-6.24300663941114,Pub
Dublin 4,53.332171,-6.242594,The 51 Bar,53.33473203764536,-6.242507526607526,Pub
Dublin 4,53.332171,-6.242594,Smyths of Haddington Road,53.33469912350612,-6.243274768243235,Pub
Dublin 4,53.332171,-6.242594,The Wellington,53.3340275911305,-6.245263381265828,Pub
Dublin 4,53.332171,-6.235029,The Dubliner,53.33199013421239,-6.234460838598848,Pub
Dublin 4,53.332171,-6.235029,Ariel House,53.33419400803916,-6.231051338389682,Hotel
Dublin 4,53.332171,-6.235029,Ballsbridge Hotel,53.33239430303765,-6.234152233063466,Hotel
Dublin 4,53.332171,-6.227464,Ariel House,53.33419400803916,-6.231051338389682,Hotel
