Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 6,53.327363,-6.265288,Blackbird,53.32687089926742,-6.264803663706023,Pub
Dublin 6,53.327363,-6.250158,Clayton Hotel - Burlington Road,53.33022271490764,-6.248980181240565,Hotel
Dublin 4,53.327363,-6.235029,Herbert Park,53.32715616909083,-6.234802847745723,Park
Dublin 4,53.327363,-6.227464,InterContinental Dublin,53.3266078,-6.226079,Hotel
Dublin 4,53.327363,-6.227464,Royal Dublin Society (RDS),53.32757996473204,-6.22906836192335,Convention Center
Dublin 4,53.327363,-6.227464,Clayton Hotel Ballsbridge,53.325868558816374,-6.224791752449134,Hotel
Dublin 2,53.332171,-6.265288,The Bernard Shaw,53.3317121177475,-6.2642640723932805,Pub
Dublin 2,53.332171,-6.265288,Brother Hubbard South,53.332681727823996,-6.265482324880567,Café
Dublin 2,53.332171,-6.265288,Zaytoon,53.33387846050894,-6.2649510849923224,Middle Eastern Restaurant
Dublin 2,53.332171,-6.265288,The Bleeding Horse,53.33361178670537,-6.264885527195136,Pub
Dublin 2,53.332171,-6.265288,Sophie's,53.33515227944346,-6.263496737980755,Restaurant
Dublin 2,53.332171,-6.265288,The Dean Hotel,53.33517556156988,-6.263287525894303,Hotel
Dublin 2,53.332171,-6.265288,Odeon,53.333450863341554,-6.262769530749977,Bar
Dublin 2,53.332171,-6.257723,House,53.333951456580586,-6.255555913946704,Cocktail Bar
Dublin 2,53.332171,-6.257723,The Barge,53.33049274562383,-6.260524953388908,Pub
Dublin 2,53.332171,-6.257723,Conrad Dublin,53.334889469914415,-6.257342172665552,Hotel
Dublin 2,53.332171,-6.257723,Hilton,53.3308584582912,-6.259198384882569,Hotel
Dublin 2,53.332171,-6.257723,Odeon,53.333450863341554,-6.262769530749977,Bar
Dublin 4,53.332171,-6.250158,Clayton Hotel - Burlington Road,53.33022271490764,-6.248980181240565,Hotel
Dublin 4,53.332171,-6.242594,Searson's,53.33321667889869,-6.24300663941114,Pub
Dublin 4,53.332171,-6.235029,Ballsbridge Hotel,53.33239430303765,-6.234152233063466,Hotel
Dublin 4,53.332171,-6.227464,Aviva Stadium,53.33475615864167,-6.228088097073558,Soccer Stadium
Dublin 4,53.332171,-6.227464,Lansdowne Road DART Station,53.333998520681305,-6.22883380734766,Train Station
Dublin 8,53.336978,-6.280417,Teeling Whiskey Distillery,53.33777268667219,-6.277161980781218,Distillery
Dublin 8,53.336978,-6.272853,The Fumbally,53.33703902062517,-6.272902048559231,Café
Dublin 8,53.336978,-6.272853,Teeling Whiskey Distillery,53.33777268667219,-6.277161980781218,Distillery
Dublin 8,53.336978,-6.272853,St Patrick's Park,53.34011037061703,-6.271893684412651,Park
Dublin 8,53.336978,-6.272853,St Patrick's Cathedral,53.33959557062058,-6.271736936333106,Church
Dublin 2,53.336978,-6.265288,Bunsen,53.33727022576248,-6.265668618588628,Burger Joint
Dublin 2,53.336978,-6.265288,Against The Grain,53.337026400132096,-6.265517179704972,Beer Bar
Dublin 2,53.336978,-6.265288,Whelan's,53.336594674733604,-6.265584196533893,Pub
Dublin 2,53.336978,-6.265288,Opium,53.336637300887,-6.26611988158487,Thai Restaurant
Dublin 2,53.336978,-6.265288,Sophie's,53.33515227944346,-6.263496737980755,Restaurant
Dublin 2,53.336978,-6.265288,The Dean Hotel,53.33517556156988,-6.263287525894303,Hotel
Dublin 2,53.336978,-6.265288,Dicey's Garden,53.33585805331403,-6.263961320677308,Beer Garden
