Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 2,53.332171,-6.265288,Arena School of English,53.33476943189974,-6.2632287431554445,University
Dublin 4,53.332171,-6.227464,Plantronics WWSM,53.33521071105719,-6.228241329510373,University
Dublin 2,53.336978,-6.265288,Presentation Room,53.338474,-6.266765,University
Dublin 2,53.336978,-6.265288,Tutorial Room 8,53.338888,-6.26259,University
Dublin 2,53.336978,-6.265288,Arena School of English,53.33476943189974,-6.2632287431554445,University
Dublin 2,53.336978,-6.265288,Newman House,53.336785,-6.260219,University
Dublin 2,53.336978,-6.257723,Newman House,53.336785,-6.260219,University
Dublin 4,53.336978,-6.227464,Plantronics WWSM,53.33521071105719,-6.228241329510373,University
Dublin 8,53.341785,-6.280417,NCAD,53.34381777011789,-6.277887360243502,University
Dublin 8,53.341785,-6.280417,MEC,53.34181946112113,-6.275675462033187,University
Dublin 8,53.341785,-6.272853,MEC,53.34181946112113,-6.275675462033187,University
Dublin 2,53.341785,-6.265288,DBS Castle House,53.343358992822594,-6.264466220889082,University
Dublin 2,53.341785,-6.257723,Trinity College,53.3441988069838,-6.257963465659788,University
Dublin 2,53.341785,-6.257723,Ussher Library,53.34300498473638,-6.255906406950686,College Library
Dublin 2,53.341785,-6.257723,Berkeley Library,53.34361739975458,-6.256230288851449,College Library
Dublin 2,53.341785,-6.257723,Trinity College | Nassau Street Gate,53.342598238309705,-6.256540545987333,University
Dublin 2,53.341785,-6.250158,Centre for Language and Communication Studies,53.341853597001716,-6.253094060281735,University
Dublin 8,53.346592,-6.280417,NCAD,53.34381777011789,-6.277887360243502,University
Dublin 1,53.346592,-6.265288,DBS Castle House,53.343358992822594,-6.264466220889082,University
Dublin 2,53.346592,-6.257723,Trinity College,53.3441988069838,-6.257963465659788,University
Dublin 2,53.346592,-6.257723,Berkeley Library,53.34361739975458,-6.256230288851449,College Library
Dublin 2,53.346592,-6.257723,"Oifig na Gaeilge, Coláiste na Tríonóide",53.34400458216961,-6.259228894553832,University
Dublin 2,53.346592,-6.250158,Maths Society Common Room,53.344743,-6.252644,University
Dublin 2,53.346592,-6.242594,National College of Ireland (NCIRL),53.34878397063717,-6.2432121018667335,University
Dublin 1,53.3514,-6.257723,Dublin Insitute of Technology,53.35228425223539,-6.259209746196754,University
Dublin 1,53.3514,-6.242594,National College of Ireland (NCIRL),53.34878397063717,-6.2432121018667335,University
