Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue price level,Venue Rating,Total user ratings,Venue Category
Dublin 6,53.32255600000001,-6.287982,Italian Gourmet Food,53.3224469,-6.2828418,538de75d48d224c6a4efcb746f031f9b45641cbd,0,0.0,0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Jumbo Wok Kimmage,53.3198465,-6.2908577,3137fa3f1cc970824663bcbb859e1b0d2d0141d7,0,4.4,29,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Honkaku Sushi & Thai Restaurant,53.3190182,-6.291461099999999,20d3ec04e39368849dda4ae303e346435a700b17,2,4.6,109,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Borza Takeaway Kimmage,53.319215,-6.291173,c36225499181f9c3569eeaf94091eb3a24860739,1,4.3,92,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Matt The Rashers,53.3203843,-6.291746499999999,7c7c4119b9df4ce937cb67052a721f4acff11abb,1,4.7,694,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Rosso Authentic Wood Fired Pizza,53.319273,-6.291215999999999,81260b00109f694080b012b1a062b3f4191d14d7,0,3.9,17,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Capri Takeaway,53.320688,-6.2929226,ad3fcf1b488e9417a66a6f844a76812a5e995cfc,1,4.2,186,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Craft Restaurant,53.3226263,-6.2794925,03498d0cab9061f951eee99b7c6c97e0107ff3e3,2,4.8,184,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Red Rice Chinese Take Away,53.3197144,-6.2898235,5b9043ff41d9b77e6cde9e0ecc6108846847a54f,2,4.5,74,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Beckett and Bull,53.3182548,-6.2788865,6f6fd225fdb6c5275b30ba0e9c7115788f452baa,2,4.5,359,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Teach Pizza,53.3233583,-6.2956074,f73adc47599536c7b373b4d82e3269236059ce4c,0,4.0,38,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Poppadom Indian takeaway Dublin,53.3204235,-6.2790436,be8204cb4a92a029fc6b5d00a25532d9a4df02ab,1,4.3,73,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,The Joshua Tree,53.3217029,-6.279485,caced14e824d0e4227e4bee09ffbae480506a98b,0,4.0,33,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.287982,Coco Chinese Take Away,53.323344,-6.280148,94223a00fbe598329d367e278c0e9c6c1d868d59,0,3.6,18,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.280417,Italian Gourmet Food,53.3224469,-6.2828418,538de75d48d224c6a4efcb746f031f9b45641cbd,0,0.0,0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.280417,Craft Restaurant,53.3226263,-6.2794925,03498d0cab9061f951eee99b7c6c97e0107ff3e3,2,4.8,184,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.280417,Peggy Kellys Pub,53.3237063,-6.2785762,12f6203209ee425a5192e4eeeaed45af095bd3ac,2,4.3,585,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.280417,Poppadom Indian takeaway Dublin,53.3204235,-6.2790436,be8204cb4a92a029fc6b5d00a25532d9a4df02ab,1,4.3,73,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.280417,The Joshua Tree,53.3217029,-6.279485,caced14e824d0e4227e4bee09ffbae480506a98b,0,4.0,33,"['restaurant', 'food', 'point_of_interest', 'establishment']"
