Name,Reviews,Price,Cuisines,Style,Phone,Link,District,Company KNN,RankingN,Ranking,Rating,Rating_G,Hotel,Tourism,Cafe,Pub,Museum,Restaurant,University,Luas,Company,Liffey,Price Area
Tang Cafe,502,Cheap,"['Cafe', 'European', 'Healthy']",European,+353 86 391 5401,/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html,1,4.227597551454314,1.0,1,5.0,5,3.5818708011790608,3.3453445440955503,3.4264702261789064,2.6298080591398176,3.104752701422347,2.8108200151037352,1.931690608232664,3.349915781780666,3.188292508212744,3.0170747023749853,3.665173921307736
Glovers Alley,193,Expensive,"['Irish', 'European', 'Vegetarian Friendly']",,+353 1 244 0733,/Restaurant_Review-g186605-d13477650-Reviews-Glovers_Alley-Dublin_County_Dublin.html,2,3.7376370649439807,0.3333333333333333,3,5.0,5,2.865496640943248,2.4901436831989434,3.5130944734699465,2.6397193960461243,3.28738521327072,3.00369533956671,2.9333079606496,2.0806930321619044,2.9709089281073284,0.8030016329050627,4.988359627447253
Darkey Kelly's Bar & Restaurant,1645,Average,"['Irish', 'Bar', 'European']",,+353 83 346 4682,/Restaurant_Review-g186605-d6403998-Reviews-Darkey_Kelly_s_Bar_Restaurant-Dublin_County_Dublin.html,8,3.7376370649439807,0.25,4,4.5,5,3.081390223480069,2.464990716701984,3.0799732370147472,2.3522906257632537,3.506544227488768,2.4447254501994897,2.2178669946375025,0.8395778901705929,2.0723901303382832,2.907472373043708,2.9782626877019576
Mulberry Garden,909,Expensive,"['Irish', 'European', 'Contemporary']",,+353 1 269 3300,/Restaurant_Review-g186605-d2239110-Reviews-Mulberry_Garden-Dublin_County_Dublin.html,4,3.3415086388875594,0.2,5,4.5,5,0.5691739903243439,0.2515296649695902,0.5004956510148965,0.3270741179080929,0.1826325118483733,0.3402959546257581,0.07154409660120976,0.24851007283239365,0.7463502916952558,0.2285760678993653,4.262322752328455
The Landmark,468,Average,"['Irish', 'Bar', 'European']",,+353 1 537 9951,/Restaurant_Review-g186605-d15590976-Reviews-The_Landmark-Dublin_County_Dublin.html,8,4.70809196841936,0.16666666666666666,6,4.5,5,2.728109815692545,2.213461051732394,2.9067247424326683,2.3126452781380307,2.7760141800952747,2.4828091129915424,2.8617638640483904,0.9331241731979572,2.710048631980832,0.636474356926957,2.9782626877019576
1900 Restaurant,354,Average,"['French', 'Irish', 'European']",,+353 1 476 4667,/Restaurant_Review-g186605-d5504360-Reviews-1900_Restaurant-Dublin_County_Dublin.html,2,4.70809196841936,0.14285714285714285,7,4.5,5,2.296322650618905,1.8864724872719267,2.781600829678944,1.8831540121981107,1.972431127962432,2.142513158365784,1.8601465116314533,3.045377983436969,3.369445491633922,0.4529791357738893,4.988359627447253
Chapter One,2386,Expensive,"['Irish', 'European', 'Contemporary']",,+353 1 873 2266,/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html,1,2.1403419318582046,0.125,8,4.5,5,2.659416403067193,1.9116254537688857,1.896108524037204,1.5560798942900178,2.2281166445501546,1.695337246872008,1.2877937388217755,1.2984169696824288,1.2970553612956388,0.7252692778618606,3.665173921307736
Bloom Brasserie,1873,Average,"['Irish', 'European', 'Wine Bar']",,+353 1 668 7170,/Restaurant_Review-g186605-d1587791-Reviews-Bloom_Brasserie-Dublin_County_Dublin.html,4,4.47928335330697,0.1111111111111111,9,4.5,5,1.9037888641883227,1.157036458860115,1.896108524037204,1.3215115875074461,1.314954085308288,1.5000049119063201,1.0016173524169367,0.34078492184950826,3.5505984750551005,0.4055288411429048,4.262322752328455
Lemon and Duke Bar,992,Average,"['Irish', 'Bar', 'European']",,+353 1 679 6260,/Restaurant_Review-g186605-d11727304-Reviews-Lemon_and_Duke_Bar-Dublin_County_Dublin.html,2,4.70809196841936,0.1,10,4.5,5,2.9243767089078365,3.169273778616837,3.830716713537091,3.0295653143608203,3.506544227488768,3.227283295313598,3.4341166368580684,2.838911679475141,3.4636450430129337,0.949978698471383,4.988359627447253
Gerry's Coffee Shop,343,Cheap,"['Irish', 'Cafe', 'European']",,+353 1 478 3524,/Restaurant_Review-g186605-d5821541-Reviews-Gerry_s_Coffee_Shop-Dublin_County_Dublin.html,2,4.70809196841936,0.09090909090909093,11,4.5,5,2.6790430923887225,2.2386140182293532,2.848975244238641,2.2102281301062043,2.5568551658772267,2.41646982941829,2.8617638640483904,0.9709900816755554,3.0940929568337303,0.5687868513479661,4.988359627447253
