,CV_acc_max,CV_acc_mean,CV_acc_min,CV_var,KF_acc_max,KF_acc_mean,KF_acc_min,KF_var,combo,nFeatures
6,0.654320987654321,0.5894158386028304,0.5308641975308642,0.0009268822647408781,0.5061728395061729,0.42794339054501657,0.345679012345679,0.002707811132445695,"['University', 'Company', 'Liffey']",3.0
11,0.654320987654321,0.6004968383017164,0.5555555555555556,0.0007325534921848603,0.5555555555555556,0.47112315567600127,0.3902439024390244,0.0025998488898536162,"['Restaurant', 'Company', 'Liffey']",3.0
13,0.691358024691358,0.5758506473953628,0.5308641975308642,0.0019382501162159057,0.5308641975308642,0.4045016561276724,0.32098765432098764,0.0035421486328684427,"['Tourism', 'Museum', 'Restaurant', 'Company']",4.0
14,0.654320987654321,0.5746010237880157,0.5308641975308642,0.0010705248534301393,0.5308641975308642,0.4230502860584161,0.32926829268292684,0.0038561940698198507,"['University', 'Pub', 'Liffey', 'Price Area']",4.0
18,0.654320987654321,0.5955736224028907,0.5308641975308642,0.00135283657028748,0.5555555555555556,0.46741945197229756,0.38271604938271603,0.0038963868209393746,"['Cafe', 'Restaurant', 'Company', 'Liffey']",4.0
19,0.654320987654321,0.5931195423065342,0.5555555555555556,0.0009519379336789121,0.5679012345679012,0.46493526046371575,0.3950617283950617,0.0025305393732782382,"['Pub', 'Museum', 'Company', 'Liffey']",4.0
26,0.654320987654321,0.5968081903041252,0.5555555555555556,0.0008714628950966819,0.5432098765432098,0.46124661246612464,0.3902439024390244,0.0029378401984361106,"['Cafe', 'Pub', 'Museum', 'Company', 'Liffey']",5.0
28,0.6666666666666666,0.5919000301114121,0.5432098765432098,0.0015017089881160111,0.5432098765432098,0.4661848840710629,0.3902439024390244,0.002168326330457924,"['Cafe', 'Pub', 'Restaurant', 'Company', 'Liffey']",5.0
29,0.654320987654321,0.5943390545016561,0.5555555555555556,0.0010385998202382231,0.5432098765432098,0.4587774766636555,0.37037037037037035,0.0035024477649507344,"['Cafe', 'Museum', 'Restaurant', 'Company', 'Liffey']",5.0
30,0.654320987654321,0.5992622704004817,0.5555555555555556,0.0007657875693815991,0.5679012345679012,0.47854561878952123,0.3780487804878049,0.0038046972987043925,"['Pub', 'Museum', 'Restaurant', 'Company', 'Liffey']",5.0
34,0.654320987654321,0.5955585666967781,0.5555555555555556,0.0010605820125249336,0.5555555555555556,0.4736073471845829,0.3780487804878049,0.0033245503847524013,"['Cafe', 'Pub', 'Museum', 'Restaurant', 'Company', 'Liffey']",6.0
42,0.6666666666666666,0.5955736224028907,0.5308641975308642,0.001688151308894399,0.5555555555555556,0.45633845227341163,0.36585365853658536,0.0031587016495813205,"['Hotel', 'Cafe', 'Pub', 'Museum', 'Restaurant', 'Company', 'Liffey']",7.0
