combo,accuracy,k_value
"('Hotel',)",0.4678362573099415,19
"('Tourism',)",0.4444444444444444,18
"('University',)",0.42105263157894735,8
"('Cafe',)",0.45614035087719296,18
"('Pub',)",0.5087719298245614,13
"('Luas',)",0.4678362573099415,7
"('Museum',)",0.49122807017543857,10
"('Restaurant',)",0.4093567251461988,19
"('Company',)",0.47953216374269003,16
"('Liffey',)",0.47368421052631576,14
"('Price Area',)",0.43859649122807015,3
"('Hotel', 'Tourism')",0.45614035087719296,16
"('Hotel', 'University')",0.49122807017543857,11
"('Hotel', 'Cafe')",0.47368421052631576,5
"('Hotel', 'Pub')",0.4619883040935672,8
"('Hotel', 'Luas')",0.47368421052631576,12
"('Hotel', 'Museum')",0.4853801169590643,18
"('Hotel', 'Restaurant')",0.4093567251461988,14
"('Hotel', 'Company')",0.49122807017543857,16
"('Hotel', 'Liffey')",0.4619883040935672,18
"('Hotel', 'Price Area')",0.47368421052631576,5
"('Tourism', 'University')",0.4619883040935672,10
"('Tourism', 'Cafe')",0.4619883040935672,15
"('Tourism', 'Pub')",0.45614035087719296,19
"('Tourism', 'Luas')",0.4678362573099415,5
"('Tourism', 'Museum')",0.4619883040935672,15
"('Tourism', 'Restaurant')",0.4678362573099415,19
"('Tourism', 'Company')",0.45614035087719296,8
"('Tourism', 'Liffey')",0.45614035087719296,1
"('Tourism', 'Price Area')",0.4619883040935672,8
"('University', 'Cafe')",0.47368421052631576,7
"('University', 'Pub')",0.4619883040935672,3
"('University', 'Luas')",0.5087719298245614,12
"('University', 'Museum')",0.4444444444444444,4
"('University', 'Restaurant')",0.4502923976608187,4
"('University', 'Company')",0.47953216374269003,4
"('University', 'Liffey')",0.4853801169590643,18
"('University', 'Price Area')",0.4619883040935672,19
"('Cafe', 'Pub')",0.47953216374269003,18
"('Cafe', 'Luas')",0.47368421052631576,16
"('Cafe', 'Museum')",0.47953216374269003,18
"('Cafe', 'Restaurant')",0.47953216374269003,10
"('Cafe', 'Company')",0.5029239766081871,17
"('Cafe', 'Liffey')",0.4678362573099415,7
"('Cafe', 'Price Area')",0.47368421052631576,16
"('Pub', 'Luas')",0.4327485380116959,9
"('Pub', 'Museum')",0.4678362573099415,4
"('Pub', 'Restaurant')",0.45614035087719296,12
"('Pub', 'Company')",0.4678362573099415,15
"('Pub', 'Liffey')",0.4444444444444444,8
"('Pub', 'Price Area')",0.4502923976608187,13
"('Luas', 'Museum')",0.5263157894736842,16
"('Luas', 'Restaurant')",0.4678362573099415,11
"('Luas', 'Company')",0.4853801169590643,9
"('Luas', 'Liffey')",0.4327485380116959,17
"('Luas', 'Price Area')",0.4619883040935672,15
"('Museum', 'Restaurant')",0.45614035087719296,17
"('Museum', 'Company')",0.4619883040935672,19
"('Museum', 'Liffey')",0.4502923976608187,8
"('Museum', 'Price Area')",0.4502923976608187,7
"('Restaurant', 'Company')",0.47953216374269003,12
"('Restaurant', 'Liffey')",0.42105263157894735,18
"('Restaurant', 'Price Area')",0.4444444444444444,12
"('Company', 'Liffey')",0.4678362573099415,4
"('Company', 'Price Area')",0.47953216374269003,12
"('Liffey', 'Price Area')",0.45614035087719296,4
"('Hotel', 'Tourism', 'University')",0.4502923976608187,19
"('Hotel', 'Tourism', 'Cafe')",0.4678362573099415,19
"('Hotel', 'Tourism', 'Pub')",0.4619883040935672,15
"('Hotel', 'Tourism', 'Luas')",0.45614035087719296,4
"('Hotel', 'Tourism', 'Museum')",0.4678362573099415,12
"('Hotel', 'Tourism', 'Restaurant')",0.45614035087719296,19
"('Hotel', 'Tourism', 'Company')",0.4619883040935672,14
"('Hotel', 'Tourism', 'Liffey')",0.47953216374269003,13
"('Hotel', 'Tourism', 'Price Area')",0.4619883040935672,18
"('Hotel', 'University', 'Cafe')",0.4853801169590643,12
"('Hotel', 'University', 'Pub')",0.49122807017543857,7
"('Hotel', 'University', 'Luas')",0.4678362573099415,19
"('Hotel', 'University', 'Museum')",0.4678362573099415,8
"('Hotel', 'University', 'Restaurant')",0.5146198830409356,17
"('Hotel', 'University', 'Company')",0.4619883040935672,18
"('Hotel', 'University', 'Liffey')",0.4678362573099415,13
"('Hotel', 'University', 'Price Area')",0.4853801169590643,14
"('Hotel', 'Cafe', 'Pub')",0.4853801169590643,13
"('Hotel', 'Cafe', 'Luas')",0.4853801169590643,19
"('Hotel', 'Cafe', 'Museum')",0.4619883040935672,12
"('Hotel', 'Cafe', 'Restaurant')",0.47368421052631576,14
"('Hotel', 'Cafe', 'Company')",0.49707602339181284,15
"('Hotel', 'Cafe', 'Liffey')",0.4853801169590643,19
"('Hotel', 'Cafe', 'Price Area')",0.4853801169590643,18
"('Hotel', 'Pub', 'Luas')",0.4678362573099415,13
"('Hotel', 'Pub', 'Museum')",0.47368421052631576,17
"('Hotel', 'Pub', 'Restaurant')",0.4327485380116959,14
"('Hotel', 'Pub', 'Company')",0.4619883040935672,18
"('Hotel', 'Pub', 'Liffey')",0.47953216374269003,12
"('Hotel', 'Pub', 'Price Area')",0.4678362573099415,19
"('Hotel', 'Luas', 'Museum')",0.5029239766081871,12
"('Hotel', 'Luas', 'Restaurant')",0.45614035087719296,12
"('Hotel', 'Luas', 'Company')",0.4853801169590643,13
"('Hotel', 'Luas', 'Liffey')",0.47368421052631576,17
"('Hotel', 'Luas', 'Price Area')",0.5087719298245614,19
"('Hotel', 'Museum', 'Restaurant')",0.47368421052631576,12
